job_id,source_url,search_job_title,search_location,search_radius_miles,scraped_job_title,recruiter_name,job_location_text,salary_benefits,full_job_description,description_snippet,responsibilities_snippet
,,,,,,,,,,Parse error: Invalid control character at: line 5 column 34 (char 164),
faee2e68-458a-4e11-949d-1df7afe6d768,https://www.cv-library.co.uk/job/224353058/General-operative,precision people,Leicester,15 miles,General Operative /site labourer,Precision People,"Glenfield, Leicester LE3. Commutable from areas including Leicester, Beaumont Leys, Wigston, Hinckley and surrounding areas",Starting pay rate - £12.50 per hour,"General Operative
Site Labouring
Overnight stays may be required
Must have full clean driving licence. Driving to and from site will be required.
Leicester LE3
Temp to Perm
Hours of work
0800 - 1630
Mon - Friday
Starting pay rate - £12.50 per hour
Are you an experienced Site Labourer or general operative with some Engineering Experience? If yes, read on....
My client is a large manufacturing company based in Leicester. They are currently searching for a new General operative /site labourer to join their team. Commutable from areas including Leicester, Beaumont Leys, Wigston, Hinckley and surrounding areas
The Role -
General Operative /site labourer
- Driving to and from site - must have full clean driving licence
- Moving and installing machinery on customers premises
- Following installation instructions
- Communicating with customers on all levels
Minimum Skills / Experience Required -
General Operative/Site labourer
- Experience in site work
- Must have full clean driving licence
- Awareness of health and safety legislation
- Able to work onsite all around the country
- Able to stay overnight when required
- Good communication skills
- Willingness to take further appropriate training
- Highly Motivated
The Package - General Operative/site labourer
- Starting rate of £12.50
About Precision People
Precision People is a leading recruitment agency that specialises in sourcing top talent for Engineering, Technical, Sales and Senior Management roles across a wide range of industries. With a focus on precision and quality, their team of expert recruiters works tirelessly to match the best candidates with the right employers, ensuring that both parties benefit from a successful partnership.
Precision People has the expertise and resources to help you find the perfect role. With a deep understanding of the industry and a commitment to excellence, they have built a reputation for delivering exceptional results and exceeding their candidates expectations.
Interested?
To apply for the General operative/site labourer position, here are your two options:
1. ""This is the job for me! When can I start?"" - Call now and let's talk through your experience. Ask for Sharon Pickering on (phone number removed) between 8.30am - 5.30pm.
2. ""I think I'm right for this position, but I'm not sure I have enough to get an interview"" - Click ""apply now"" so I can read your CV and let you know.
INDTEMP","Are you an experienced Site Labourer or general operative with some Engineering Experience? If yes, read on.... My client is a large manufacturing company based in Leicester. They are currently searching for a new General operative /site labourer to join their team. Commutable from areas including Leicester, Beaumont Leys, Wigston, Hinckley and surrounding areas",Driving to and from site - must have full clean driving licence; Moving and installing machinery on customers premises; Following installation instructions; Communicating with customers on all levels; Experience in site work; Must have full clean driving licence; Awareness of health and safety legislation; Able to work onsite all around the country; Able to stay overnight when required; Good communication skills; Willingness to take further appropriate training; Highly Motivated
5579a5aa-0282-4a6f-9c68-b4307d59ac40,https://www.cv-library.co.uk/job/224351632/Work-Shop-supervisor,precision people,Leicester,15 miles,Work Shop supervisor,Precision People,LE3 6NW (Leicester LE3),"Starting salary up to £36k per annum, Pension, Day Shifts (Mon to Thurs 07.30-16.30, Friday 07.30-1400)","Experience Required - Production Supervisor Fabrication shop Engineering Manufacturing Industry Leicester LE3 Up to £36k Per Annum Day Shifts - Early Finish Friday Are you an experienced Supervisor, Team Leader or Workshop Manager from the Engineering Manufacturing industry? Would you like to lead and develop a motivated team within an established family-owned business? Our client is a leading engineering manufacturer based in Leicester. They are currently looking for new Production Supervisor to run their fabrication workshop. Commutable from Coventry, Hinckley, Rugby, Nuneaton and other areas close to South Leicestershire. The Role - Fabrication supervisor - To lead, motivate and manage a team of fabricators on a daily basis. - Liaising with the office regarding bespoke requirements and sharing thoughts and experience regarding more complex specifications. - To oversee all works being carried out in the workshop to ensure customer satisfaction at all times. - Interpreting drawings received. - Welding various fabricated material. - Oversee laser cutting, shearing, folding, punching, and rubbering material using the relevant machinery. - Arranging adequate and relevant training for new and existing staff as necessary. - Working with other staff members effectively by coordinating workload. - Adhering to health and safety regulations. - All other duties as required that are considered to be a reasonable employer request. - At least 5 years' experience in metal sheet fabrication. - Competent with all aspect of fabrication. - Use of CAD drawings - Forklift licence would be preferable but not essential - Accurate measuring ability and good numeracy skills and experience of using measuring equipment. - The ability to understand the drawings provided. - Relevant qualifications would be desirable. - Previous welding/sheet metal experience essential. - Amada machinery experience preferable. The Package - Fabrication/shop floor supervisor - Starting salary up to £36k per annum - Pension - Day Shifts - Mon to Thurs 07.30-16.30, Friday 07.30-1400 About Precision People Precision People is a leading recruitment agency that specialises in sourcing top talent for Engineering, Technical, Sales and Senior Management roles across a wide range of industries. With a focus on precision and quality, their team of expert recruiters works tirelessly to match the best candidates with the right employers, ensuring that both parties benefit from a successful partnership. Precision People has the expertise and resources to help you find the perfect role. With a deep understanding of the industry and a commitment to excellence, they have built a reputation for delivering exceptional results and exceeding their candidate's expectations. Interested? To apply for this Production Supervisor position, here are your two options: 1. ""This is the job for me! When can I start?"" - Call (phone number removed) now and let's discuss your experience. Ask for Sharon Pickering between 0730 am - 4.30 pm 2. ""I think I'm right for this position, but I'm not sure I have enough to get an interview"" - Click ""apply now"" so I can read your CV and let you know INDTEMP","Are you an experienced Supervisor, Team Leader or Workshop Manager from the Engineering Manufacturing industry? Would you like to lead and develop a motivated team within an established family-owned business? Our client is a leading engineering manufacturer based in Leicester. They are currently looking for new Production Supervisor to run their fabrication workshop.","Responsibilities: * To lead, motivate and manage a team of fabricators on a daily basis. * Liaising with the office regarding bespoke requirements and sharing thoughts and experience regarding more complex specifications. * To oversee all works being carried out in the workshop to ensure customer satisfaction at all times. * Interpreting drawings received. * Welding various fabricated material. * Oversee laser cutting, shearing, folding, punching, and rubbering material using the relevant machinery. * Arranging adequate and relevant training for new and existing staff as necessary. * Working with other staff members effectively by coordinating workload. * Adhering to health and safety regulations. * All other duties as required that are considered to be a reasonable employer request. Skills/Requirements: * At least 5 years' experience in metal sheet fabrication. * Competent with all aspect of fabrication. * Use of CAD drawings * Forklift licence would be preferable but not essential * Accurate measuring ability and good numeracy skills and experience of using measuring equipment. * The ability to understand the drawings provided. * Relevant qualifications would be desirable. * Previous welding/sheet metal experience essential. * Amada machinery experience preferable."
3f7118d0-0df7-4df4-8e30-7fd4a819a9cc,https://www.cv-library.co.uk/job/224297813/CNC-Setter-Operator,precision people,Leicester,15 miles,CNC Setter / Operator,Precision People,"LE4 (commutable from Queniborough, Syston, Thurmaston, East Goscote and surrounding areas)",£15.00 - £17.00/hour. Overtime paid at a premium,"Permanent Opportunity. Paying upto £17.00 p/h. Permanent role based in the LE4 area of Leicester, commutable from Queniborough, Syston, Thurmaston, East Goscote and surrounding areas. Our client is looking for an experienced CNC Setter / Operator with experience operating a CNC Milling Machine. Interviewing immediate. Working a day shift Monday to Thursday 06.30 - 16.45. Overtime paid at a premium. JOB PURPOSE: To report to the Machine Shop Supervisor. To set and Operate a CNC Milling Machine Machine. THE CNC Setter / Operator CANDIDATE: - Knowledge and experience of setting and operating a CNC Milling machine - Knowledge of Mazak and Haas Controls - Previously worked with or educated on CNC Milling Machining - Previous engineering environment experience - Previously worked with sheet metal - Is from an engineering background - Is able to read engineering drawings would be advantageous - Able to use micrometers, verniers and gauges - Has the ability to work on their own initiative. - Motivated with the drive to succeed. Interested? To apply for the CNC Role, here are your two options: 'This is the job for me! When can I start?' - Call now and let's talk through your experience. Ask for Stacey Catterall on (phone number removed) between 8am - 5pm or email (url removed) outside of these hours. 'I think I'm right for this position, but I'm not sure I have enough to be get an interview' - Click 'apply now' so I can read your CV and let you know. Precision are committed to keeping our candidates informed and offer a guaranteed response within 7 days when applying through the application system. Ref: CNC Operator INDTEMP","Permanent Opportunity. Paying upto £17.00 p/h. Permanent role based in the LE4 area of Leicester, commutable from Queniborough, Syston, Thurmaston, East Goscote and surrounding areas. Our client is looking for an experienced CNC Setter / Operator with experience operating a CNC Milling Machine. Interviewing immediate. Working a day shift Monday to Thursday 06.30 - 16.45.","Knowledge and experience of setting and operating a CNC Milling machine. Knowledge of Mazak and Haas Controls. Previously worked with or educated on CNC Milling Machining. Previous engineering environment experience. Previously worked with sheet metal. Is from an engineering background. Is able to read engineering drawings would be advantageous. Able to use micrometers, verniers and gauges. Has the ability to work on their own initiative. Motivated with the drive to succeed."
af043691-0384-40e4-84c9-86954fa8b39c,https://www.cv-library.co.uk/job/224297927/CNC-setter-operator,precision people,Leicester,15 miles,CNC setter / operator,Precision People,"LE4, commutable from Queniborough, Syston, Thurmaston, East Goscote and surrounding areas",£15.00 - £17.00/hour. Permanent Opportunity. Paying upto £17.00 p/h. Overtime paid at a premium.,"Permanent Opportunity
Paying upto £17.00 p/h 
Permanent role based in the LE4 area of Leicester, commutable from Queniborough, Syston, Thurmaston, East Goscote and surrounding areas
Our client is looking for an experienced CNC Setter / Operator with experience operating a CNC Milling Machine
Interviewing immediate
Working a day shift Monday to Thursday 06.30 - 16.45
Overtime paid at a premium
JOB PURPOSE
To report to the Machine Shop Supervisor
To set and Operate a CNC Milling Machine Machine
THE CNC Setter / Operator
CANDIDATE:
- Knowledge and experience of setting and operating a CNC Milling machine
- Knowledge of Mazak and Haas Controls
- Previously worked with or educated on CNC Milling Machining
- Previous engineering environment experience
- Previously worked with sheet metal
- Is from an engineering background
- Is able to read engineering drawings would be advantageous
- Able to use micrometers, verniers and gauges
- Has the ability to work on their own initiative.
- Motivated with the drive to succeed
Interested? To apply for the CNC Role, here are your two options:
- ""This is the job for me! When can I start?"" - Call now and let's talk through your experience. Ask for Stacey Catterall on (phone number removed) between 8am - 5pm or email (url removed) outside of these hours.
- ""I think I'm right for this position, but I'm not sure I have enough to be get an interview"" - Click ""apply now"" so I can read your CV and let you know
Precision are committed to keeping our candidates informed and offer a guaranteed response within 7 days when applying through the application system
Ref: CNC Operator
INDTEMP","Permanent role based in the LE4 area of Leicester, commutable from Queniborough, Syston, Thurmaston, East Goscote and surrounding areas. Our client is looking for an experienced CNC Setter / Operator with experience operating a CNC Milling Machine. Working a day shift Monday to Thursday 06.30 - 16.45.","JOB PURPOSE: To report to the Machine Shop Supervisor. To set and Operate a CNC Milling Machine Machine. CANDIDATE REQUIREMENTS: Knowledge and experience of setting and operating a CNC Milling machine, Knowledge of Mazak and Haas Controls, Previously worked with or educated on CNC Milling Machining, Previous engineering environment experience, Previously worked with sheet metal, Is from an engineering background, Is able to read engineering drawings would be advantageous, Able to use micrometers, verniers and gauges, Has the ability to work on their own initiative, Motivated with the drive to succeed."
1cee8136-f7c7-470a-9be4-4ee26e68b2ca,https://www.cv-library.co.uk/job/224267219/CNC-Setter-operator,precision people,Leicester,15 miles,CNC Setter / operator,Precision People,LE4,"Payrate - £15.00 p/h, great rates of pay, steady Night shifts, and the opportunity to go permanent for the right person.","CNC Operator Location: Leicester LE4 Hours: Monday to Thursday - 20.00 - 06.15 Payrate - £15.00 p/h Interviews Happening Immediately Are you a skilled in Operating a CNC Milling and Turning Machine and looking for your next opportunity? We're working with a well-established and growing engineering firm in Leicester who are looking to add to their friendly team. This role offers great rates of pay, steady Night shifts, and the opportunity to go permanent for the right person. What You'll Be Doing - Running a cell, operating a CNC Machine - Working from detailed engineering drawings - Operating CNC Milling and Turning Machines - Machining components to a high standard - Reporting to the machine shop Manager - Occasionally working independently on varied jobs and materials What We're Looking For - An experience CNC Milling and Turning operative - Strong background in operating CNC Machines - Confident reading technical drawings - 3+ years experience working within an engineering environment - Someone who can hit the ground running with operating a CNC Milling and turning machine - Someone who is willing to learn and progress","Are you a skilled in Operating a CNC Milling and Turning Machine and looking for your next opportunity? We're working with a well-established and growing engineering firm in Leicester who are looking to add to their friendly team. This role offers great rates of pay, steady Night shifts, and the opportunity to go permanent for the right person.","- Running a cell, operating a CNC Machine - Working from detailed engineering drawings - Operating CNC Milling and Turning Machines - Machining components to a high standard - Reporting to the machine shop Manager - Occasionally working independently on varied jobs and materials"
,,,,,,,,,,"Parse error: Expecting ',' delimiter: line 1 column 3738 (char 3737)",
ffdc82c2-5dd6-45eb-85cc-91ff3c3b448b,https://www.cv-library.co.uk/job/223938015/plater-welder,precision people,Leicester,15 miles,plater welder,Precision People,"Loughborough, Leicestershire",Paying up to £17.50 P/H; Could lead to a Permanent role,"Plater Welder   
Paying up to £17.50 P/H  
Could lead to a Permanent role based in Loughborough LE11  
Our client is looking for an experienced plater welder/ fully skilled fabricator to join their expanding team.  
Interviewing immediately  
Day shift 0730 - 1630 Mon - Thursday 0730 - 1230 Friday   
**JOB PURPOSE**  
To report to the fabrication Manager  
To plate weld steel upto 15mm  
To read all engineering drawings   
Fully skilled in fabrication and Plater Welding  
**THE Plater Welder**  
CANDIDATE:  
Ability to Plater Weld and Fabricate to a High Standard  
Fitting experience is an advantage but not essential   
Highly skilled apprentice-trained fabricator who can read engineering drawings and cope with varied jobs and materials.  
More than 3 years industry experience welding and fabricating mid to heavy gauge mild steel   
Candidate should be able to work on their own initiative.  
**Interested? To apply for the Plater welder role**  
**, here are your two options:**
1. ""This is the job for me! When can I start?"" - Call now and let's talk through your experience. Ask for Sharon Pickering   on (phone number removed) between 8am - 5pm
2. ""I think I'm right for this position, but I'm not sure I have enough to be get an interview"" - Click ""apply now"" so I can read your CV and let you know
Precision are committed to keeping our candidates informed and offer a guaranteed response within 7 days when applying through the application system  
Ref: Plater Welder / Fabricator  
INDTEMP",Our client is looking for an experienced plater welder/ fully skilled fabricator to join their expanding team. Paying up to £17.50 P/H. Could lead to a Permanent role based in Loughborough LE11. Interviewing immediately. Day shift is 0730 - 1630 Mon - Thursday and 0730 - 1230 Friday.,JOB PURPOSE: To report to the fabrication Manager; To plate weld steel upto 15mm; To read all engineering drawings; Fully skilled in fabrication and Plater Welding. CANDIDATE REQUIREMENTS: Ability to Plater Weld and Fabricate to a High Standard; Fitting experience is an advantage but not essential; Highly skilled apprentice-trained fabricator who can read engineering drawings and cope with varied jobs and materials; More than 3 years industry experience welding and fabricating mid to heavy gauge mild steel; Candidate should be able to work on their own initiative.
96cf5ed8-3958-4f70-a212-7703237ad72d,https://www.cv-library.co.uk/job/224318248/Press-Brake-setter-operator,precision people,Leicester,15 miles,Press Brake setter / operator,Precision People,"Loughborough, LE11","£15.00 - £18.00/hour (up to £18.00 ph). Benefits include: Great rates of pay, steady day shifts, day shifts only — no evenings or weekends, great team environment and solid support from day one.","Press Brake setter / operator Location: Loughborough, LE11 Hours: Monday to Thursday 07:30-16:30, Payrate: £15.00 - £18.00 p/h Interviews Happening Immediately Are you a skilled Press Brake setter/operator looking for your next opportunity? We're working with a well-established and growing engineering firm in Loughborough who are looking to add to their friendly team. This role offers great rates of pay, steady day shifts,. What You'll Be Doing Working from detailed engineering drawings Setting and operating an Amada Press Brake Operating a Laser Reporting to the Manager Occasionally working independently on varied jobs and materials What We're Looking For Skilled Press Brake setter / operator Previous experience setting and operating an Amada Press Brake Previous laser experience would be an advantage Confident reading technical drawings 3+ years experience setting and operating An Amada press brake Someone who can hit the ground running and work on their own initiative Why You'll Love It Here Excellent hourly rate - up to £18.00 ph Day shifts only — no evenings or weekends Great team environment and solid support from day one Interested? Let's talk! Call Staecy Catterall on (phone number removed) between 8 am - 5 pm to discuss your experience and the next steps. Or click ""Apply Now"" and we'll be in touch to chat through your CV. Ref: Press Brake / Laser INDTEMP","Are you a skilled Press Brake setter/operator looking for your next opportunity? We're working with a well-established and growing engineering firm in Loughborough who are looking to add to their friendly team. This role offers great rates of pay, steady day shifts,.","What You'll Be Doing: Working from detailed engineering drawings, Setting and operating an Amada Press Brake, Operating a Laser, Reporting to the Manager, Occasionally working independently on varied jobs and materials. What We're Looking For: Skilled Press Brake setter / operator, Previous experience setting and operating an Amada Press Brake, Previous laser experience would be an advantage, Confident reading technical drawings, 3+ years experience setting and operating An Amada press brake, Someone who can hit the ground running and work on their own initiative."
9109739e-169e-41ca-ab1d-5616669d9617,https://www.cv-library.co.uk/job/224318098/Welder,precision people,Leicester,15 miles,Welder,Precision People,"Loughborough, LE12","£15.00 - £18.00 p/h. Benefits: Great rates of pay, Steady day shifts, Excellent hourly rate - up to £18.00 ph, Day shifts only — no evenings or weekends, Great team environment and solid support from day one.","Are you a skilled MIG Welder Fabricator looking for your next opportunity? We're working with a well-established and growing engineering firm in Loughborough who are looking to add to their friendly team. This role offers great rates of pay, steady day shifts. This is a 2-3 week contract covering holiday but should you impress this could become a full time role. Interested? Let's talk! Call Staecy Catterall on (phone number removed) between 8 am - 5 pm to discuss your experience and the next steps. Or click ""Apply Now"" and we'll be in touch to chat through your CV. Ref: Welder INDTEMP","A contract role (2-3 weeks, potential for full-time) for a skilled MIG Welder Fabricator at a well-established and growing engineering firm in Loughborough. The role offers excellent pay rates and day shifts.","Responsibilities: Working from detailed engineering drawings, MIG welding 1mm - 3mm Aluminium, mild steel and stainless steel, TIG welding, Fabricating components to a high standard, Reporting to the Fabrication Manager, Occasionally working independently on varied jobs and materials. Requirements/Skills: Skilled welder/fabricator, Strong background in MIG Welding, Experience in TIG welding would be advantageous, Confident reading technical drawings, 3+ years experience working in the catering industry, Point of sale experience would be advantageous, Someone who can hit the ground running and work on their own initiative."
