job_id,source_url,search_job_title,search_location,search_radius_miles,scraped_job_title,recruiter_name,job_location_text,salary_benefits,full_job_description,description_snippet,responsibilities_snippet
60d80dc1-8bf7-4708-909b-ee46d2df8da6,https://www.cv-library.co.uk/job/224266001/Panel-Wirer?hlkw=precision-people&sid=a009e538-f5c4-4756-aa1d-c7a9c4d9c656,precision people,Leicester,15 miles,Panel Wirer,Precision People,"LE8 6LP (Leicester, LE8)",Pay rate £22 CIS or £17 Paye; Basic salary of £17 per hour paye or £22 CIS; Overtime available daily; Free onsite parking.,"**Panel Wirer** Contract role Machine Building Industry Leicester, LE8 Days Shifts - Early Finish Friday Pay rate £22 CIS or £17 Paye Are you an experienced **Panel Wirer** looking for an exciting Contract opportunity within a developing industry? If yes, read on.... I'm excited to share an opportunity with a forward-thinking engineering company that's on the lookout for an experienced Panel Wireman or Control Wirer. This is an ideal role for someone who thrives in high-precision environments and has a proven track record in Panel Wiring. The Role - **Panel Wirer**: - Building and wiring control panels - Machine wiring - Working to wiring schematics - Using a variety of hand tools - Day Shifts, Early Finish Friday Minimum Skills / Experience Required - **Panel Wireman**: - Extensive experience in panel wiring or machine control wiring - Strong understanding and experience with schematics - Ability to use the required hand tools - The ability to work with minimal supervision and deliver high standards - Problem-solving skills and attention to detail - Motivated and excellent team player - Able to commute to the LE8 area The Package - **Electrical Fitter**: - Basic salary of £17 per hour paye or £22 CIS - Overtime available daily - Free onsite parking **About PrecisionPeople** PrecisionPeople is a leading recruitment agency that specialises in sourcing top talent for Engineering, Technical, Sales and Senior Management roles across a wide range of industries. With a focus on precision and quality, their team of expert recruiters works tirelessly to match the best candidates with the right employers, ensuring that both parties benefit from a successful partnership. PrecisionPeople has the expertise and resources to help you find the perfect role. With a deep understanding of the industry and a commitment to excellence, they have built a reputation for delivering exceptional results and exceeding their candidates expectations. **Interested?** To apply for the **Control Panel Wirer** position, here are your two options: 1. ""This is the job for me! When can I start?"" - Call now and let's talk through your experience. Ask for **Sharon Pickering** on (phone number removed) between 8.30am - 5.30pm 2. ""I think I'm right for this position, but I'm not sure I have enough to get an interview"" - Click ""apply now"" so I can read your CV and let you know TEMPIND","Contract role in the Machine Building Industry in Leicester, LE8, for an experienced Panel Wirer or Control Wirer, involving building and wiring control panels and machine wiring, working to schematics, and using hand tools. The role offers day shifts with an early finish on Friday.","Key Responsibilities (The Role - Panel Wirer): - Building and wiring control panels - Machine wiring - Working to wiring schematics - Using a variety of hand tools - Day Shifts, Early Finish Friday Minimum Skills / Experience Required (Panel Wireman): - Extensive experience in panel wiring or machine control wiring - Strong understanding and experience with schematics - Ability to use the required hand tools - The ability to work with minimal supervision and deliver high standards - Problem-solving skills and attention to detail - Motivated and excellent team player - Able to commute to the LE8 area"
2c5828cd-98b5-4099-b08d-d4df0752d4de,https://www.cv-library.co.uk/job/224353058/General-operative?hlkw=precision-people&sid=a009e538-f5c4-4756-aa1d-c7a9c4d9c656,precision people,Leicester,15 miles,General Operative /site labourer,Precision People,"LE3 6NW, Leicester LE3, Glenfield","Starting pay rate - £12.50 per hour, Starting rate of £12.50","The Role - General Operative /site labourer - Driving to and from site - must have full clean driving licence - Moving and installing machinery on customers premises - Following installation instructions - Communicating with customers on all levels Minimum Skills / Experience Required - General Operative/Site labourer - Experience in site work - Must have full clean driving licence - Awareness of health and safety legislation - Able to work onsite all around the country - Able to stay overnight when required - Good communication skills - Willingness to take further appropriate training - Highly Motivated The Package - General Operative/site labourer - Starting rate of £12.50 About Precision People Precision People is a leading recruitment agency that specialises in sourcing top talent for Engineering, Technical, Sales and Senior Management roles across a wide range of industries. With a focus on precision and quality, their team of expert recruiters works tirelessly to match the best candidates with the right employers, ensuring that both parties benefit from a successful partnership. Precision People has the expertise and resources to help you find the perfect role. With a deep understanding of the industry and a commitment to excellence, they have built a reputation for delivering exceptional results and exceeding their candidates expectations. Interested? To apply for the General operative/site labourer position, here are your two options: 1. ""This is the job for me! When can I start?"" - Call now and let's talk through your experience. Ask for Sharon Pickering on (phone number removed) between 8.30am - 5.30pm. 2. ""I think I'm right for this position, but I'm not sure I have enough to get an interview"" - Click ""apply now"" so I can read your CV and let you know. INDTEMP",- Driving to and from site - must have full clean driving licence - Moving and installing machinery on customers premises - Following installation instructions - Communicating with customers on all levels,- Experience in site work - Must have full clean driving licence - Awareness of health and safety legislation - Able to work onsite all around the country - Able to stay overnight when required - Good communication skills - Willingness to take further appropriate training - Highly Motivated
7149e19e-c40e-4279-88e1-57bf16cb8942,https://www.cv-library.co.uk/job/224351632/Work-Shop-supervisor?hlkw=precision-people&sid=a009e538-f5c4-4756-aa1d-c7a9c4d9c656,precision people,Leicester,15 miles,Work Shop supervisor,Precision People,"LE3 6NW (Leicester LE3, Commutable from Coventry, Hinckley, Rugby, Nuneaton and other areas close to South Leicestershire.)","Up to £36k Per Annum, Pension, Day Shifts - Mon to Thurs 07.30-16.30, Friday 07.30-1400 (Early Finish Friday)","Experience Required - 
Production Supervisor
Fabrication shop 
Engineering Manufacturing Industry
Leicester LE3 
Up to £36k Per Annum
Day Shifts - Early Finish Friday
Are you an experienced Supervisor, Team Leader or Workshop Manager from the Engineering Manufacturing industry? Would you like to lead and develop a motivated team within an established family-owned business? 
Our client is a leading engineering manufacturer based in Leicester. They are currently looking for new Production Supervisor to run their fabrication workshop. 
Commutable from Coventry, Hinckley, Rugby, Nuneaton and other areas close to South Leicestershire. 
The Role - Fabrication supervisor 
- To lead, motivate and manage a team of fabricators on a daily basis.
- Liaising with the office regarding bespoke requirements and sharing thoughts and experience regarding more complex specifications.
- To oversee all works being carried out in the workshop to ensure customer satisfaction at all times.
- Interpreting drawings received.
- Welding various fabricated material.
- Oversee laser cutting, shearing, folding, punching, and rubbering material using the relevant machinery.
- Arranging adequate and relevant training for new and existing staff as necessary.
- Working with other staff members effectively by coordinating workload.
- Adhering to health and safety regulations.
- All other duties as required that are considered to be a reasonable employer request.
- At least 5 years' experience in metal sheet fabrication.
- Competent with all aspect of fabrication.
- Use of CAD drawings
- Forklift licence would be preferable but not essential
- Accurate measuring ability and good numeracy skills and experience of using measuring equipment.
- The ability to understand the drawings provided.
- Relevant qualifications would be desirable.
- Previous welding/sheet metal experience essential.
- Amada machinery experience preferable.
The Package - Fabrication/shop floor supervisor 
- Starting salary up to £36k per annum
- Pension
- Day Shifts - Mon to Thurs 07.30-16.30, Friday 07.30-1400
About PrecisionPeople 
PrecisionPeople is a leading recruitment agency that specialises in sourcing top talent for Engineering, Technical, Sales and Senior Management roles across a wide range of industries. With a focus on precision and quality, their team of expert recruiters works tirelessly to match the best candidates with the right employers, ensuring that both parties benefit from a successful partnership. 
PrecisionPeople has the expertise and resources to help you find the perfect role. With a deep understanding of the industry and a commitment to excellence, they have built a reputation for delivering exceptional results and exceeding their candidate's expectations. 
Interested? To apply for this Production Supervisor position, here are your two options: 
1. ""This is the job for me! When can I start?"" - Call (phone number removed) now and let's discuss your experience. Ask for Sharon Pickering between 0730 am - 4.30 pm 
2. ""I think I'm right for this position, but I'm not sure I have enough to get an interview"" - Click ""apply now"" so I can read your CV and let you know 
INDTEMP","Are you an experienced Supervisor, Team Leader or Workshop Manager from the Engineering Manufacturing industry? Would you like to lead and develop a motivated team within an established family-owned business? Our client is a leading engineering manufacturer based in Leicester. They are currently looking for new Production Supervisor to run their fabrication workshop.","- To lead, motivate and manage a team of fabricators on a daily basis.
- Liaising with the office regarding bespoke requirements and sharing thoughts and experience regarding more complex specifications.
- To oversee all works being carried out in the workshop to ensure customer satisfaction at all times.
- Interpreting drawings received.
- Welding various fabricated material.
- Oversee laser cutting, shearing, folding, punching, and rubbering material using the relevant machinery.
- Arranging adequate and relevant training for new and existing staff as necessary.
- Working with other staff members effectively by coordinating workload.
- Adhering to health and safety regulations.
- All other duties as required that are considered to be a reasonable employer request.
- At least 5 years' experience in metal sheet fabrication.
- Competent with all aspect of fabrication.
- Use of CAD drawings
- Forklift licence would be preferable but not essential
- Accurate measuring ability and good numeracy skills and experience of using measuring equipment.
- The ability to understand the drawings provided.
- Relevant qualifications would be desirable.
- Previous welding/sheet metal experience essential.
- Amada machinery experience preferable."
cffc2efa-0233-442a-97dc-873d902125f1,https://www.cv-library.co.uk/job/224297813/CNC-Setter-Operator?hlkw=precision-people&sid=a009e538-f5c4-4756-aa1d-c7a9c4d9c656,precision people,Leicester,15 miles,CNC Setter / Operator,Precision People,"Leicester, Leicestershire (LE4)","£15.00 - £17.00/hour, Overtime paid at a premium, Working a day shift Monday to Thursday 06.30 - 16.45","Our client is looking for an experienced CNC Setter / Operator with experience operating a CNC Milling Machine
Interviewing immediate
Working a day shift Monday to Thursday 06.30 - 16.45
Overtime paid at a premium
JOB PURPOSE
To report to the Machine Shop Supervisor
To set and Operate a CNC Milling Machine Machine
THE CNC Setter / Operator
CANDIDATE:
Knowledge and experience of setting and operating a CNC Milling machine
Knowledge of Mazak and Haas Controls
Previously worked with or educated on CNC Milling Machining
Previous engineering environment experience
Previously worked with sheet metal
Is from an engineering background
Is able to read engineering drawings would be advantageous
Able to use micrometers, verniers and gauges
Has the ability to work on their own initiative.
Motivated with the drive to succeed","Our client is looking for an experienced CNC Setter / Operator with experience operating a CNC Milling Machine
Interviewing immediate
Working a day shift Monday to Thursday 06.30 - 16.45
Overtime paid at a premium
JOB PURPOSE
To report to the Machine Shop Supervisor
To set and Operate a CNC Milling Machine Machine","CANDIDATE:
Knowledge and experience of setting and operating a CNC Milling machine
Knowledge of Mazak and Haas Controls
Previously worked with or educated on CNC Milling Machining
Previous engineering environment experience
Previously worked with sheet metal
Is from an engineering background
Is able to read engineering drawings would be advantageous
Able to use micrometers, verniers and gauges
Has the ability to work on their own initiative.
Motivated with the drive to succeed"
8a19ac41-9b10-424b-8ab4-cf4b3fef345a,https://www.cv-library.co.uk/job/224297927/CNC-setter-operator?hlkw=precision-people&sid=a009e538-f5c4-4756-aa1d-c7a9c4d9c656,precision people,Leicester,15 miles,CNC setter / operator,Precision People,"Leicester, Leicestershire (LE4 area, commutable from Queniborough, Syston, Thurmaston, East Goscote and surrounding areas)","£32,000 - £36,000/annum, £15.00 - £17.00/hour. Overtime paid at a premium.","Permanent Opportunity
Paying upto £17.00 p/h
Permanent role based in the LE4 area of Leicester, commutable from Queniborough, Syston, Thurmaston, East Goscote and surrounding areas
Our client is looking for an experienced CNC Setter / Operator with experience operating a CNC Milling Machine
Interviewing immediate
Working a day shift Monday to Thursday	06.30 - 16.45
Overtime paid at a premium
JOB PURPOSE
To report to the Machine Shop Supervisor
To set and Operate a CNC Milling Machine Machine
THE CNC Setter / Operator
CANDIDATE:
- Knowledge and experience of setting and operating a CNC Milling machine
- Knowledge of Mazak and Haas Controls
- Previously worked with or educated on CNC Milling Machining
- Previous engineering environment experience
- Previously worked with sheet metal
- Is from an engineering background
- Is able to read engineering drawings would be advantageous
- Able to use micrometers, verniers and gauges
- Has the ability to work on their own initiative.
- Motivated with the drive to succeed
Interested? To apply for the CNC Role
, here are your two options:
- ""This is the job for me! When can I start?"" - Call now and let's talk through your experience. Ask for Stacey Catterall on	 (phone number removed) 	between 8am - 5pm or email (url removed) outside of these hours.
- ""I think I'm right for this position, but I'm not sure I have enough to be get an interview"" - Click ""apply now"" so I can read your CV and let you know
Precision are committed to keeping our candidates informed and offer a guaranteed response within 7 days when applying through the application system
Ref: CNC Operator
INDTEMP","Permanent Opportunity
Paying upto £17.00 p/h
Permanent role based in the LE4 area of Leicester, commutable from Queniborough, Syston, Thurmaston, East Goscote and surrounding areas
Our client is looking for an experienced CNC Setter / Operator with experience operating a CNC Milling Machine
Interviewing immediate
Working a day shift Monday to Thursday	06.30 - 16.45
Overtime paid at a premium","JOB PURPOSE
To report to the Machine Shop Supervisor
To set and Operate a CNC Milling Machine Machine
THE CNC Setter / Operator
CANDIDATE:
- Knowledge and experience of setting and operating a CNC Milling machine
- Knowledge of Mazak and Haas Controls
- Previously worked with or educated on CNC Milling Machining
- Previous engineering environment experience
- Previously worked with sheet metal
- Is from an engineering background
- Is able to read engineering drawings would be advantageous
- Able to use micrometers, verniers and gauges
- Has the ability to work on their own initiative.
- Motivated with the drive to succeed"
e9bdb780-7c15-4b4c-8429-03d283d76fe5,https://www.cv-library.co.uk/job/224267219/CNC-Setter-operator?hlkw=precision-people&sid=a009e538-f5c4-4756-aa1d-c7a9c4d9c656,precision people,Leicester,15 miles,CNC Setter / operator,Precision People,LE4,"Payrate - £15.00 p/h, steady Night shifts, and the opportunity to go permanent for the right person.","CNC Operator  
Location:	Leicester LE4  
Hours:	Monday to Thursday - 20.00 - 06.15  
Payrate - £15.00 p/h	  
Interviews Happening Immediately  
Are you a skilled	in Operating a CNC Milling and Turning Machine and	looking for your next opportunity? We're working with a well-established and growing engineering firm in	Leicester	who are looking to add to their friendly team.  
This role offers	great rates of pay,steady Night shifts, and the opportunity to go	permanent	for the right person.  
What You'll Be Doing  
- Running a cell, operating a CNC Machine
- Working from	detailed engineering drawings
- Operating CNC Milling and Turning Machines
- Machining components to a high standard
- Reporting to the machine shop Manager
- Occasionally working independently on varied jobs and materials
What We're Looking For  
- An experience CNC Milling and Turning operative
- Strong background in	operating CNC Machines
- Confident reading technical drawings
- 3+ years experience working within an engineering environment
- Someone who can hit the ground running with operating a CNC Milling and turning machine
- Someone who is willing to learn and progress","Are you a skilled in Operating a CNC Milling and Turning Machine and looking for your next opportunity? We're working with a well-established and growing engineering firm in Leicester who are looking to add to their friendly team. This role offers great rates of pay, steady Night shifts, and the opportunity to go permanent for the right person.","What You'll Be Doing:
- Running a cell, operating a CNC Machine
- Working from detailed engineering drawings
- Operating CNC Milling and Turning Machines
- Machining components to a high standard
- Reporting to the machine shop Manager
- Occasionally working independently on varied jobs and materials

What We're Looking For:
- An experience CNC Milling and Turning operative
- Strong background in operating CNC Machines
- Confident reading technical drawings
- 3+ years experience working within an engineering environment
- Someone who can hit the ground running with operating a CNC Milling and turning machine
- Someone who is willing to learn and progress"
c058689e-be5e-4128-a3c6-545e0406b0c3,https://www.cv-library.co.uk/job/224338835/Welder?hlkw=precision-people&sid=a009e538-f5c4-4756-aa1d-c7a9c4d9c656,precision people,Leicester,15 miles,Welder,Precision People,"Le4, Leicester LE4","Payrate £14.50 p/h. Benefits include: great rates of pay, steady day shifts, opportunity to go permanent, Excellent hourly rate - up to £14.50 p/h, Day shifts only — no evenings or weekends, Genuine temp-to-perm opportunity, Great team environment and solid support from day one.","Welder Location: Leicester LE4 Hours: Monday to Friday 40 hrs Payrate £14.50 p/h Interviews Happening Immediately Are you a skilled MIG Welder or Fabricator looking for your next opportunity? We're working with a well-established and growing engineering firm in Leicester LE4 who are looking to add to their friendly team. This role offers great rates of pay, steady day shifts, and the opportunity to go permanent for the right person. What You'll Be Doing - MIG welding Steel - Fabrication and assembly - Marking link bars - Grinding - Cleaning parts - Occasionally working independently on varied jobs and materials What We're Looking For - Skilled welder/fabricator - Strong background in welding steel - Confident reading technical drawings - 3+ years experience working with steel - Someone who can hit the ground running and work on their own initiative Why You'll Love It Here - Excellent hourly rate - up to £14.50 p/h - Day shifts only — no evenings or weekends - Genuine temp-to-perm opportunity - Great team environment and solid support from day one Interested? Let's talk! Call Staecy Catterall on (phone number removed) between 8 am - 5 pm to discuss your experience and the next steps. Or click ""Apply Now"" and we'll be in touch to chat through your CV. Ref: Welder INDTEMP","Seeking a skilled MIG Welder or Fabricator for a well-established and growing engineering firm in Leicester LE4. The role offers steady day shifts, competitive pay, and a genuine temp-to-perm opportunity. Interviews are happening immediately.",Responsibilities (What You'll Be Doing): - MIG welding Steel - Fabrication and assembly - Marking link bars - Grinding - Cleaning parts - Occasionally working independently on varied jobs and materials Skills/Requirements (What We're Looking For): - Skilled welder/fabricator - Strong background in welding steel - Confident reading technical drawings - 3+ years experience working with steel - Someone who can hit the ground running and work on their own initiative
05a1c8b9-6da9-4f33-a9aa-71f5d4500ebe,https://www.cv-library.co.uk/job/224338520/General-op-with-FLT-licence?hlkw=precision-people&sid=a009e538-f5c4-4756-aa1d-c7a9c4d9c656,precision people,Leicester,15 miles,General op with FLT licence,Precision People,"Le3, Leicester LE3",Payrate upto ,"General operative with FLT Licence
Location: Leicester LE3
Hours: Monday to Thursday 07.30 - 16.0 Friday 07.30 - 14.00
Payrate upto 
 Interviews Happening Immediately
Are you a skilled flt driver who has previous experience in an engineering environmentand  looking for your next opportunity?
We're working with a well-established and growing engineering firm in Leicester who are looking to add to their friendly team. This role offers great rates of pay, steady day shifts, and the opportunity to go permanent for the right person.
What You'll Be Doing
- Operating an FLT
- Loading and unloading of trailers
- Making deliveries so a valid uk driving licence is essential
- Prepping parts ready for the paint shop
- Other general duties
What We're Looking For
- Someone who has a nationally accreditedFLT Licence
- You must hold a Full UK driving licence
- previous experience within an engineering environment
- ability to load and unload parts
- Someone who can hit the ground running and work on their own initiative
Why You'll Love It Here
- Excellent hourly rate - up to 
- Day shifts only — no evenings or weekends
- Genuine temp-to-perm opportunity
- Great team environment and solid support from day one
Interested? Let's talk!
Call Staecy Catterall on (phone number removed) between 8 am - 5 pm to discuss your experience and the next steps. Or click ""Apply Now"" and we'll be in touch to chat through your CV.
Ref: Plater Welder / Fabricator
INDTEMP","General operative with FLT Licence
Location: Leicester LE3
Hours: Monday to Thursday 07.30 - 16.0 Friday 07.30 - 14.00
Payrate upto 
 Interviews Happening Immediately
Are you a skilled flt driver who has previous experience in an engineering environmentand  looking for your next opportunity?
We're working with a well-established and growing engineering firm in Leicester who are looking to add to their friendly team. This role offers great rates of pay, steady day shifts, and the opportunity to go permanent for the right person.","What You'll Be Doing
- Operating an FLT
- Loading and unloading of trailers
- Making deliveries so a valid uk driving licence is essential
- Prepping parts ready for the paint shop
- Other general duties
What We're Looking For
- Someone who has a nationally accreditedFLT Licence
- You must hold a Full UK driving licence
- previous experience within an engineering environment
- ability to load and unload parts
- Someone who can hit the ground running and work on their own initiative"
39250bcc-417b-4f30-b447-2492af6b6c1e,https://www.cv-library.co.uk/job/223413592/Welder?hlkw=precision-people&sid=a009e538-f5c4-4756-aa1d-c7a9c4d9c656,precision people,Leicester,15 miles,Welder,Precision People,"Oadby, Leicester LE2","£15 - £16/hour. Benefits: Excellent hourly rate - up to £16.00, Day Shift Only, Genuine temp-to-perm opportunity, Great team environment and solid support from day one.","Welder Location: Leicester LE2. Hours: Mon - Thurs 0700 - 1600 Friday 0700 - 1300. Interviews Happening Immediately. Are you a skilled Welder Fabricator looking for your next opportunity? We’re working with a well-established and growing engineering firm in Leicester who are looking to add to their friendly team. This role offers great rates of pay, day shifts and the opportunity to go permanent for the right person. What You’ll Be Doing: Welding and fabricating, MIG Welding up to 5mm, Fabricating Mild steel to a high standard, Reporting to the engineering manager, Operating both the CNC Laser and CNC Press brake when required. What We're Looking For: Apprentice-trained or time-served welder/fabricator, Strong background in MIG welding and fabrication, Confident reading technical drawings, 2+years experience working with mid to heavy gauge mild steel, Someone who can hit the ground running and work on their own initiative. Why You’ll Love It Here: Excellent hourly rate - up to £16.00, Day Shift Only, Genuine temp-to-perm opportunity, Great team environment and solid support from day one. Interested? Let’s talk! Call Sharon Pickering on (phone number removed) between 8 am - 5 pm to discuss your experience and the next steps. Or click “Apply Now” and we’ll be in touch to chat through your CV. Ref MIG Welder/Fabricator INDTEMP","Are you a skilled Welder Fabricator looking for your next opportunity? We’re working with a well-established and growing engineering firm in Leicester who are looking to add to their friendly team. This role offers great rates of pay, day shifts and the opportunity to go permanent for the right person.","What You’ll Be Doing: Welding and fabricating, MIG Welding up to 5mm, Fabricating Mild steel to a high standard, Reporting to the engineering manager, Operating both the CNC Laser and CNC Press brake when required. What We're Looking For: Apprentice-trained or time-served welder/fabricator, Strong background in MIG welding and fabrication, Confident reading technical drawings, 2+years experience working with mid to heavy gauge mild steel, Someone who can hit the ground running and work on their own initiative."
c567c6d5-93e6-4520-8bc8-6a23d630c0a7,https://www.cv-library.co.uk/job/224254857/CNC-Operator?hlkw=precision-people&sid=a009e538-f5c4-4756-aa1d-c7a9c4d9c656,precision people,Leicester,15 miles,CNC Operator,Precision People,Leicester LE7,"Salary/Rate: £14.00/hour (up to £14.00 p/h). Benefits: Steady day shifts, opportunity to go permanent from day 1 for the right person, Night shift Monday - Thursday working, 3 day weekend, Genuine temp-to-perm opportunity, Great team environment and solid support from day one.","CNC Operator. Location: Leicester LE7. Hours: Monday to Thursday 19.45 - 06.00. Payrate - up to £14.00 p/h. Interviews Happening Immediately. Are you a skilled CNC Turning Operator looking for your next opportunity? We're working with a well-established and growing engineering firm in Leicester who are looking to add to their friendly team. This role offers great rates of pay, steady day shifts, and the opportunity to go permanent from day 1 for the right person. What You'll Be Doing: Working from Engineering drawings, Operating a CNC Turning Machine, Producing components to a high standard, Reporting to the Workshop Manager, Occasionally working independently on varied jobs and materials. What We're Looking For: An individual with CNC Milling or Turning experience, Strong background in an engineering environment, Confident reading engineering drawings would be an advantage, Someone with a flexible approach to work and a desire to learn, Someone who can hit the ground running and work on their own initiative. Why You'll Love It Here: Excellent hourly rate - up to £14.00 p/h, Night shift Monday - Thursday working, 3 day weekend, Genuine temp-to-perm opportunity, Great team environment and solid support from day one.","Are you a skilled CNC Turning Operator looking for your next opportunity? We're working with a well-established and growing engineering firm in Leicester who are looking to add to their friendly team. This role offers great rates of pay, steady day shifts, and the opportunity to go permanent from day 1 for the right person.","What You'll Be Doing: Working from Engineering drawings, Operating a CNC Turning Machine, Producing components to a high standard, Reporting to the Workshop Manager, Occasionally working independently on varied jobs and materials. What We're Looking For: An individual with CNC Milling or Turning experience, Strong background in an engineering environment, Confident reading engineering drawings would be an advantage, Someone with a flexible approach to work and a desire to learn, Someone who can hit the ground running and work on their own initiative."
