job_id,source_url,search_job_title,search_location,search_radius_miles,scraped_job_title,recruiter_name,job_location_text,salary_benefits,full_job_description,description_snippet,responsibilities_snippet
30c0f65c-965d-45e4-be4b-4e42d93879df,https://www.cv-library.co.uk/job/224266001/Panel-Wirer?hlkw=precision-people&sid=35093edb-d9e8-4fe6-ab1b-2e1297d6be3f,precision people,Leicester,15 miles,Panel Wirer,Precision People,"Leicester, LE8, LE8 6LP",Basic salary of ,"Panel Wirer
Contract role 
Machine Building Industry
Leicester, LE8
Days Shifts - Early Finish Friday
Pay rate ","Contract role in the Machine Building Industry in Leicester (LE8) for an experienced Panel Wirer/Control Wirer. The role involves building and wiring control panels and machine wiring, working to schematics, and using hand tools. It offers day shifts with an early finish on Friday and a pay rate of ","Building and wiring control panels, machine wiring, working to wiring schematics, using a variety of hand tools. Requirements include extensive experience in panel wiring or machine control wiring, strong understanding and experience with schematics, ability to use required hand tools, ability to work with minimal supervision, problem-solving skills, attention to detail, motivated and excellent team player, and ability to commute to the LE8 area."
ad3084c1-8734-4ec9-bd94-10b40633e090,https://www.cv-library.co.uk/job/224353058/General-operative?hlkw=precision-people&sid=35093edb-d9e8-4fe6-ab1b-2e1297d6be3f,precision people,Leicester,15 miles,General operative,Precision People,"LE3 6NW (Leicester LE3, Commutable from areas including Leicester, Beaumont Leys, Wigston, Hinckley and surrounding areas)",Starting pay rate - £12.50 per hour,General Operative /site labourer - Driving to and from site - must have full clean driving licence - Moving and installing machinery on customers premises - Following installation instructions - Communicating with customers on all levels. Experience in site work - Must have full clean driving licence - Awareness of health and safety legislation - Able to work onsite all around the country - Able to stay overnight when required - Good communication skills - Willingness to take further appropriate training - Highly Motivated,General Operative /site labourer - Driving to and from site - must have full clean driving licence - Moving and installing machinery on customers premises - Following installation instructions - Communicating with customers on all levels.,Experience in site work - Must have full clean driving licence - Awareness of health and safety legislation - Able to work onsite all around the country - Able to stay overnight when required - Good communication skills - Willingness to take further appropriate training - Highly Motivated
,,,,,,,,,,Parse error: Invalid control character at: line 1 column 154 (char 153),
cb1c6bc4-31be-4e62-86b8-d81e2abe1cfa,https://www.cv-library.co.uk/job/224267219/CNC-Setter-operator?hlkw=precision-people&sid=35093edb-d9e8-4fe6-ab1b-2e1297d6be3f,precision people,Leicester,15 miles,CNC Setter / operator,Precision People,LE4,"Payrate - £15.00 p/h, steady Night shifts, and the opportunity to go permanent for the right person.","CNC Operator  
Location: Leicester LE4  
Hours: Monday to Thursday - 20.00 - 06.15  
Payrate - £15.00 p/h   
Interviews Happening Immediately  
Are you a skilled in Operating a CNC Milling and Turning Machine and looking for your next opportunity? We're working with a well-established and growing engineering firm in Leicester who are looking to add to their friendly team.  
This role offers great rates of pay, steady Night shifts, and the opportunity to go permanent for the right person.  
What You'll Be Doing  
- Running a cell, operating a CNC Machine
- Working from detailed engineering drawings
- Operating CNC Milling and Turning Machines
- Machining components to a high standard
- Reporting to the machine shop Manager
- Occasionally working independently on varied jobs and materials
What We're Looking For  
- An experience CNC Milling and Turning operative
- Strong background in operating CNC Machines
- Confident reading technical drawings
- 3+ years experience working within an engineering environment
- Someone who can hit the ground running with operating a CNC Milling and turning machine
- Someone who is willing to learn and progress","Are you a skilled in Operating a CNC Milling and Turning Machine and looking for your next opportunity? We're working with a well-established and growing engineering firm in Leicester who are looking to add to their friendly team. This role offers great rates of pay, steady Night shifts, and the opportunity to go permanent for the right person.","- Running a cell, operating a CNC Machine
- Working from detailed engineering drawings
- Operating CNC Milling and Turning Machines
- Machining components to a high standard
- Reporting to the machine shop Manager
- Occasionally working independently on varied jobs and materials"
1e496ec1-f438-421f-aee2-2233ff85c8c3,https://www.cv-library.co.uk/job/224297813/CNC-Setter-Operator?hlkw=precision-people&sid=35093edb-d9e8-4fe6-ab1b-2e1297d6be3f,precision people,Leicester,15 miles,CNC Miller setter/operator,Precision People,"Leicester, Leicestershire","£32,000 - £36,000/annum","Our client is looking for an experienced CNC Setter / Operator with experience operating a CNC Milling Machine
 Interviewing immediate
 Working a day shift Monday to Thursday 06.30 - 16.45
 Overtime paid at a premium
**JOB PURPOSE**
 To report to the Machine Shop Supervisor
To set and Operate a CNC Milling Machine Machine
**THE CNC Setter / Operator**
 CANDIDATE:
- Knowledge and experience of setting and operating a CNC Milling machine
- Knowledge of Mazak and Haas Controls
- Previously worked with or educated on CNC Milling Machining
- Previous engineering environment experience
- Previously worked with sheet metal
- Is from an engineering background
- Is able to read engineering drawings would be advantageous
- Able to use micrometers, verniers and gauges
- Has the ability to work on their own initiative.
- Motivated with the drive to succeed
**Interested? To apply for the CNC Role**
**, here are your two options:**
- ""This is the job for me! When can I start?"" - Call now and let's talk through your experience. Ask for Stacey Catterall on (phone number removed) between 8am - 5pm or email (url removed) outside of these hours.
- ""I think I'm right for this position, but I'm not sure I have enough to be get an interview"" - Click ""apply now"" so I can read your CV and let you know
Precision are committed to keeping our candidates informed and offer a guaranteed response within 7 days when applying through the application system
 Ref: CNC Operator
 INDTEMP",Our client is looking for an experienced CNC Setter / Operator with experience operating a CNC Milling Machine,"JOB PURPOSE
 To report to the Machine Shop Supervisor
To set and Operate a CNC Milling Machine Machine
**THE CNC Setter / Operator**
 CANDIDATE:
- Knowledge and experience of setting and operating a CNC Milling machine
- Knowledge of Mazak and Haas Controls
- Previously worked with or educated on CNC Milling Machining
- Previous engineering environment experience
- Previously worked with sheet metal
- Is from an engineering background
- Is able to read engineering drawings would be advantageous
- Able to use micrometers, verniers and gauges
- Has the ability to work on their own initiative.
- Motivated with the drive to succeed"
730f6e41-76ce-4b1c-aec4-924df7de2c04,https://www.cv-library.co.uk/job/224297927/CNC-setter-operator?hlkw=precision-people&sid=35093edb-d9e8-4fe6-ab1b-2e1297d6be3f,precision people,Leicester,15 miles,CNC setter / operator,Precision People,LE4,"£15.00 - £17.00/hour, Overtime paid at a premium","Permanent Opportunity Paying upto £17.00 p/h Permanent role based in the LE4 area of Leicester, commutable from Queniborough, Syston, Thurmaston, East Goscote and surrounding areas Our client is looking for an experienced CNC Setter / Operator with experience operating a CNC Milling Machine Interviewing immediate Working a day shift Monday to Thursday 06.30 - 16.45 Overtime paid at a premium JOB PURPOSE To report to the Machine Shop Supervisor To set and Operate a CNC Milling Machine Machine THE CNC Setter / Operator CANDIDATE: - Knowledge and experience of setting and operating a CNC Milling machine - Knowledge of Mazak and Haas Controls - Previously worked with or educated on CNC Milling Machining - Previous engineering environment experience - Previously worked with sheet metal - Is from an engineering background - Is able to read engineering drawings would be advantageous - Able to use micrometers, verniers and gauges - Has the ability to work on their own initiative. - Motivated with the drive to succeed Interested? To apply for the CNC Role , here are your two options: - ""This is the job for me! When can I start?"" - Call now and let's talk through your experience. Ask for Stacey Catterall on (phone number removed) between 8am - 5pm or email (url removed) outside of these hours. - ""I think I'm right for this position, but I'm not sure I have enough to be get an interview"" - Click ""apply now"" so I can read your CV and let you know Precision are committed to keeping our candidates informed and offer a guaranteed response within 7 days when applying through the application system Ref: CNC Operator INDTEMP","Permanent role based in the LE4 area of Leicester, commutable from Queniborough, Syston, Thurmaston, East Goscote and surrounding areas. Our client is looking for an experienced CNC Setter / Operator with experience operating a CNC Milling Machine. Working a day shift Monday to Thursday 06.30 - 16.45. JOB PURPOSE: To report to the Machine Shop Supervisor, To set and Operate a CNC Milling Machine Machine.","To report to the Machine Shop Supervisor To set and Operate a CNC Milling Machine Machine CANDIDATE: - Knowledge and experience of setting and operating a CNC Milling machine - Knowledge of Mazak and Haas Controls - Previously worked with or educated on CNC Milling Machining - Previous engineering environment experience - Previously worked with sheet metal - Is from an engineering background - Is able to read engineering drawings would be advantageous - Able to use micrometers, verniers and gauges - Has the ability to work on their own initiative. - Motivated with the drive to succeed"
4c3cf447-0ffc-4327-a596-30e99a0c65e1,https://www.cv-library.co.uk/job/224338835/Welder?hlkw=precision-people&sid=35093edb-d9e8-4fe6-ab1b-2e1297d6be3f,precision people,Leicester,15 miles,Welder,Precision People,Leicester LE4,"Payrate £14.50 p/h, Excellent hourly rate - up to £14.50 p/h, Day shifts only — no evenings or weekends, Genuine temp-to-perm opportunity, Great team environment and solid support from day one.","Welder
Location: Leicester LE4
Hours: Monday to Friday 40 hrs
Payrate £14.50 p/h 
Interviews Happening Immediately
Are you a skilled MIG Welder or Fabricator looking for your next opportunity?
We're working with a well-established and growing engineering firm in Leicester LE4 who are looking to add to their friendly team.
This role offers great rates of pay, steady day shifts, and the opportunity to go permanent for the right person.
What You'll Be Doing
- MIG welding Steel
- Fabrication and assembly
- Marking link bars
- Grinding
- Cleaning parts
- Occasionally working independently on varied jobs and materials
What We're Looking For
- Skilled welder/fabricator
- Strong background in welding steel
- Confident reading technical drawings
- 3+ years experience working with steel
- Someone who can hit the ground running and work on their own initiative
Why You'll Love It Here
- Excellent hourly rate - up to £14.50 p/h
- Day shifts only — no evenings or weekends
- Genuine temp-to-perm opportunity
- Great team environment and solid support from day one
Interested? Let's talk!
Call Staecy Catterall on (phone number removed) between 8 am - 5 pm to discuss your experience and the next steps. Or click ""Apply Now"" and we'll be in touch to chat through your CV.
Ref: Welder
INDTEMP","Are you a skilled MIG Welder or Fabricator looking for your next opportunity?   
 We're working with a well-established and growing engineering firm in **Leicester LE4** who are looking to add to their friendly team.   
 This role offers **great rates of pay,** **steady day shifts**, and the opportunity to go **permanent** for the right person.","What You'll Be Doing
- MIG welding Steel
- Fabrication and assembly
- Marking link bars
- Grinding
- Cleaning parts
- Occasionally working independently on varied jobs and materials"
ecb538ce-33e1-4790-8574-6322c77ac06e,https://www.cv-library.co.uk/job/224338520/General-op-with-FLT-licence?hlkw=precision-people&sid=35093edb-d9e8-4fe6-ab1b-2e1297d6be3f,precision people,Leicester,15 miles,General op with FLT licence,Precision People,Leicester LE3,"Payrate upto £13.50p/h, steady day shifts, opportunity to go permanent, Excellent hourly rate - up to ££13.50 p/h, Day shifts only — no evenings or weekends, Genuine temp-to-perm opportunity, Great team environment","Are you a skilled flt driver who has previous experience in an engineering environmentand looking for your next opportunity? We're working with a well-established and growing engineering firm in Leicester who are looking to add to their friendly team. This role offers great rates of pay, steady day shifts, and the opportunity to go permanent for the right person. What You'll Be Doing - Operating an FLT - Loading and unloading of trailers - Making deliveries so a valid uk driving licence is essential - Prepping parts ready for the paint shop - Other general duties What We're Looking For - Someone who has a nationally accreditedFLT Licence - You must hold a Full UK driving licence - previous experience within an engineering environment - ability to load and unload parts - Someone who can hit the ground running and work on their own initiative Why You'll Love It Here - Excellent hourly rate - up to £13.50 p/h - Day shifts only — no evenings or weekends - Genuine temp-to-perm opportunity - Great team environment and solid support from day one Interested? Let's talk! Call Staecy Catterall on (phone number removed) between 8 am - 5 pm to discuss your experience and the next steps. Or click ""Apply Now"" and we'll be in touch to chat through your CV. Ref: Plater Welder / Fabricator INDTEMP","Are you a skilled flt driver who has previous experience in an engineering environmentand looking for your next opportunity? We're working with a well-established and growing engineering firm in Leicester who are looking to add to their friendly team. This role offers great rates of pay, steady day shifts, and the opportunity to go permanent for the right person.","What You'll Be Doing: Operating an FLT, Loading and unloading of trailers, Making deliveries so a valid uk driving licence is essential, Prepping parts ready for the paint shop, Other general duties. What We're Looking For: Someone who has a nationally accreditedFLT Licence, You must hold a Full UK driving licence, previous experience within an engineering environment, ability to load and unload parts, Someone who can hit the ground running and work on their own initiative."
354ad0bb-221a-44f6-8a63-e37b7da4720e,https://www.cv-library.co.uk/job/224231736/Laser-operator?hlkw=precision-people&sid=35093edb-d9e8-4fe6-ab1b-2e1297d6be3f,precision people,Leicester,15 miles,Laser operator,Precision People,"Leicester , LE3, LE3 6NW",£14.00 per hour. Excellent hourly rate - up to £ 14.00 p/h. Late shifts only — no weekends. Genuine Perm opportunity. Great team environment and solid support from day one.,"Laser Operator
Location: Leicester , LE3
 Hours: Monday to Thursday 0630 - 1530 
 Friday 0630 - 1230
 Payrate - £14.00 per hour 
Interviews Happening Immediately 
Are you a skilled Laser operator looking for your next opportunity? We're working with a well-established and growing engineering firm in Leicesterwho are looking to add to their friendly team. 
What You'll Be Doing 
- Working from detailed engineering drawings
- Operating an Amada press Brake
- Removing parts and tags
- Operating a press brake
- Ensuring components are to a high standard
- Reporting to the workshop Manager
- Occasionally working independently on varied jobs and materials
What We're Looking For 
- Fully skilled Amada Laser operator
- Strong background in an engineering environment
- Confident reading technical drawings
- 3+ years experience working with an Amada laser
- Press brake operating experience preferred but not essential
- Someone who can hit the ground running and work on their own initiative
Why You'll Love It Here 
- Excellent hourly rate - up to £ 14.00 p/h
- Late shifts only — no weekends
- Genuine Perm opportunity
- Great team environment and solid support from day one
Interested? Let's talk! 
Call Sharon Pickeringon (phone number removed) between 8 am - 5 pm to discuss your experience and the next steps. Or click ""Apply Now"" and we'll be in touch to chat through your CV. 
Ref: Laser Operator 
INDTEMP","Are you a skilled Laser operator looking for your next opportunity? We're working with a well-established and growing engineering firm in Leicesterwho are looking to add to their friendly team. Hours: Monday to Thursday 0630 - 1530, Friday 0630 - 1230. Payrate - £14.00 per hour. The role involves operating an Amada press Brake, working from detailed engineering drawings, and ensuring components are to a high standard.",Working from detailed engineering drawings; Operating an Amada press Brake; Removing parts and tags; Operating a press brake; Ensuring components are to a high standard; Reporting to the workshop Manager; Occasionally working independently on varied jobs and materials. Requirements: Fully skilled Amada Laser operator; Strong background in an engineering environment; Confident reading technical drawings; 3+ years experience working with an Amada laser; Press brake operating experience preferred but not essential; Someone who can hit the ground running and work on their own initiative.
1fc3c2ff-08a3-4e20-b3ff-3dcd98eea3c9,https://www.cv-library.co.uk/job/223413592/Welder?hlkw=precision-people&sid=35093edb-d9e8-4fe6-ab1b-2e1297d6be3f,precision people,Leicester,15 miles,Welder,Precision People,Oadby,£15 - £16/hour; Excellent hourly rate - up to £16.00; Day Shift Only; Genuine temp-to-perm opportunity; Great team environment and solid support from day one,"Welder Location: Leicester LE2 Hours: Mon - Thurs 0700 - 1600 Friday 0700 - 1300 Interviews Happening Immediately Are you a skilled Welder Fabricator looking for your next opportunity? We’re working with a well-established and growing engineering firm in Leicester who are looking to add to their friendly team. This role offers great rates of pay, day shifts and the opportunity to go permanent for the right person. What You’ll Be Doing Welding and fabricating MIG Welding up to 5mm Fabricating Mild steel to a high standard Reporting to the engineering manager Operating both the CNC Laser and CNC Press brake when required What We're Looking For - Apprentice-trained or time-served welder/fabricator - Strong background in MIG welding and fabrication - Confident reading technical drawings - 2+years experience working with mid to heavy gauge mild steel - Someone who can hit the ground running and work on their own initiative Why You’ll Love It Here - Excellent hourly rate - up to £16.00 - Day Shift Only - Genuine temp-to-perm opportunity - Great team environment and solid support from day one Interested? Let’s talk! Call Sharon Pickering on (phone number removed) between 8 am - 5 pm to discuss your experience and the next steps. Or click “Apply Now” and we’ll be in touch to chat through your CV. Ref MIG Welder/Fabricator INDTEMP","Are you a skilled Welder Fabricator looking for your next opportunity? We’re working with a well-established and growing engineering firm in Leicester who are looking to add to their friendly team. This role offers great rates of pay, day shifts and the opportunity to go permanent for the right person.",What You’ll Be Doing Welding and fabricating MIG Welding up to 5mm Fabricating Mild steel to a high standard Reporting to the engineering manager Operating both the CNC Laser and CNC Press brake when required What We're Looking For - Apprentice-trained or time-served welder/fabricator - Strong background in MIG welding and fabrication - Confident reading technical drawings - 2+years experience working with mid to heavy gauge mild steel - Someone who can hit the ground running and work on their own initiative
