job_id,source_url,search_job_title,search_location,search_radius_miles,scraped_job_title,recruiter_name,job_location_text,salary_benefits,full_job_description,description_snippet,responsibilities_snippet
ebdd9615-fc6a-4d7c-ac3d-5528d2f60887,https://www.cv-library.co.uk/job/224266001/Panel-Wirer?hlkw=precision-people&sid=0a46c454-5a6a-4b48-a079-2cf128183471,precision people,Leicester,15 miles,Panel Wirer,Precision People,"Leicester, LE8, LE8 6LP","Pay rate £22 CIS or £17 Paye, Basic salary of £17 per hour paye or £22 CIS, Overtime available daily, Free onsite parking","Panel Wirer
 Contract role 
Machine Building Industry
Leicester, LE8
Days Shifts - Early Finish Friday
Pay rate £22 CIS or £17 Paye 
Are you an experienced Panel Wirer looking for an exciting Contract opportunity within a developing industry? If yes, read on.... 
I'm excited to share an opportunity with a forward-thinking engineering company that's on the lookout for an experienced Panel Wireman or Control Wirer. This is an ideal role for someone who thrives in high-precision environments and has a proven track record in Panel Wiring.
The Role - Panel Wirer:
- Building and wiring control panels
- Machine wiring
- Working to wiring schematics
- Using a variety of hand tools
- Day Shifts, Early Finish Friday
 Minimum Skills / Experience Required - Panel Wireman:
- Extensive experience in panel wiring or machine control wiring
- Strong understanding and experience with schematics
- Ability to use the required hand tools
- The ability to work with minimal supervision and deliver high standards
- Problem-solving skills and attention to detail
- Motivated and excellent team player
- Able to commute to the LE8 area
 The Package - Electrical Fitter:
- Basic salary of £17 per hour paye or £22 CIS
- Overtime available daily
- Free onsite parking
About PrecisionPeople
PrecisionPeople is a leading recruitment agency that specialises in sourcing top talent for Engineering, Technical, Sales and Senior Management roles across a wide range of industries. With a focus on precision and quality, their team of expert recruiters works tirelessly to match the best candidates with the right employers, ensuring that both parties benefit from a successful partnership. 
PrecisionPeople has the expertise and resources to help you find the perfect role. With a deep understanding of the industry and a commitment to excellence, they have built a reputation for delivering exceptional results and exceeding their candidates expectations. 
Interested?
To apply for the Control Panel Wirerposition, here are your two options:
1. ""This is the job for me! When can I start?"" - Call now and let's talk through your experience. Ask for Sharon Pickering on (phone number removed) between 8.30am - 5.30pm 
2. ""I think I'm right for this position, but I'm not sure I have enough to get an interview"" - Click ""apply now"" so I can read your CV and let you know 
TEMPIND","Contract role in the Machine Building Industry in Leicester, LE8 with Day Shifts and an Early Finish Friday. The role involves building and wiring control panels, machine wiring, working to wiring schematics, and using hand tools. The company is a forward-thinking engineering company looking for an experienced Panel Wireman or Control Wirer.","Building and wiring control panels, Machine wiring, Working to wiring schematics, Using a variety of hand tools, Day Shifts, Early Finish Friday. Minimum Skills / Experience Required: Extensive experience in panel wiring or machine control wiring, Strong understanding and experience with schematics, Ability to use the required hand tools, The ability to work with minimal supervision and deliver high standards, Problem-solving skills and attention to detail, Motivated and excellent team player, Able to commute to the LE8 area."
c01babd6-dd6d-4c32-81a4-bd9762370613,https://www.cv-library.co.uk/job/224353058/General-operative?hlkw=precision-people&sid=0a46c454-5a6a-4b48-a079-2cf128183471,precision people,Leicester,15 miles,General operative,Precision People,"LE3 6NW (Commutable from areas including Leicester, Beaumont Leys, Wigston, Hinckley and surrounding areas)",Starting pay rate - £12.50 per hour. Temp to Perm.,"General Operative
Site Labouring
Overnight stays may be required
Must have full clean driving licence. Driving to and from site will be required.
Leicester LE3
Temp to Perm
Hours of work
0800 - 1630
Mon - Friday
Starting pay rate - £12.50 per hour
Are you an experienced Site Labourer or general operative with some Engineering Experience? If yes, read on....
My client is a large manufacturing company based in Leicester. They are currently searching for a new General operative /site labourer to join their team. Commutable from areas including Leicester, Beaumont Leys, Wigston, Hinckley and surrounding areas
The Role - 
General Operative /site labourer
- Driving to and from site - must have full clean driving licence 
- Moving and installing machinery on customers premises
- Following installation instructions
- Communicating with customers on all levels
Minimum Skills / Experience Required - 
General Operative/Site labourer
- Experience in site work
- Must have full clean driving licence 
- Awareness of health and safety legislation
- Able to work onsite all around the country
- Able to stay overnight when required
- Good communication skills
- Willingness to take further appropriate training
- Highly Motivated
The Package - General Operative/site labourer
- Starting rate of £12.50
About PrecisionPeople
PrecisionPeople is a leading recruitment agency that specialises in sourcing top talent for Engineering, Technical, Sales and Senior Management roles across a wide range of industries. With a focus on precision and quality, their team of expert recruiters works tirelessly to match the best candidates with the right employers, ensuring that both parties benefit from a successful partnership.
PrecisionPeople has the expertise and resources to help you find the perfect role. With a deep understanding of the industry and a commitment to excellence, they have built a reputation for delivering exceptional results and exceeding their candidates expectations.","General Operative /site labourer
- Driving to and from site - must have full clean driving licence 
- Moving and installing machinery on customers premises
- Following installation instructions
- Communicating with customers on all levels","General Operative/Site labourer
- Experience in site work
- Must have full clean driving licence 
- Awareness of health and safety legislation
- Able to work onsite all around the country
- Able to stay overnight when required
- Good communication skills
- Willingness to take further appropriate training
- Highly Motivated"
5af26703-f317-485f-8b17-dd43c73968d1,https://www.cv-library.co.uk/job/224351632/Work-Shop-supervisor?hlkw=precision-people&sid=0a46c454-5a6a-4b48-a079-2cf128183471,precision people,Leicester,15 miles,Work Shop supervisor,Precision People,"LE3 6NW (Commutable from Coventry, Hinckley, Rugby, Nuneaton and other areas close to South Leicestershire. Leicester LE3)","Starting salary up to £36k per annum; Pension; Day Shifts - Mon to Thurs 07.30-16.30, Friday 07.30-1400","Are you an experienced Supervisor, Team Leader or Workshop Manager from the Engineering Manufacturing industry? Would you like to lead and develop a motivated team within an established family-owned business? Our client is a leading engineering manufacturer based in Leicester. They are currently looking for new Production Supervisor to run their fabrication workshop. Commutable from Coventry, Hinckley, Rugby, Nuneaton and other areas close to South Leicestershire. The Role - Fabrication supervisor - To lead, motivate and manage a team of fabricators on a daily basis. - Liaising with the office regarding bespoke requirements and sharing thoughts and experience regarding more complex specifications. - To oversee all works being carried out in the workshop to ensure customer satisfaction at all times. - Interpreting drawings received. - Welding various fabricated material. - Oversee laser cutting, shearing, folding, punching, and rubbering material using the relevant machinery. - Arranging adequate and relevant training for new and existing staff as necessary. - Working with other staff members effectively by coordinating workload. - Adhering to health and safety regulations. - All other duties as required that are considered to be a reasonable employer request. - At least 5 years' experience in metal sheet fabrication. - Competent with all aspect of fabrication. - Use of CAD drawings - Forklift licence would be preferable but not essential - Accurate measuring ability and good numeracy skills and experience of using measuring equipment. - The ability to understand the drawings provided. - Relevant qualifications would be desirable. - Previous welding/sheet metal experience essential. - Amada machinery experience preferable. The Package - Fabrication/shop floor supervisor  - Starting salary up to £36k per annum - Pension - Day Shifts - Mon to Thurs 07.30-16.30, Friday 07.30-1400","Are you an experienced Supervisor, Team Leader or Workshop Manager from the Engineering Manufacturing industry? Would you like to lead and develop a motivated team within an established family-owned business? Our client is a leading engineering manufacturer based in Leicester. They are currently looking for new Production Supervisor to run their fabrication workshop.","The Role - Fabrication supervisor - To lead, motivate and manage a team of fabricators on a daily basis. - Liaising with the office regarding bespoke requirements and sharing thoughts and experience regarding more complex specifications. - To oversee all works being being carried out in the workshop to ensure customer satisfaction at all times. - Interpreting drawings received. - Welding various fabricated material. - Oversee laser cutting, shearing, folding, punching, and rubbering material using the relevant machinery. - Arranging adequate and relevant training for new and existing staff as necessary. - Working with other staff members effectively by coordinating workload. - Adhering to health and safety regulations. - All other duties as required that are considered to be a reasonable employer request. - At least 5 years' experience in metal sheet fabrication. - Competent with all aspect of fabrication. - Use of CAD drawings - Forklift licence would be preferable but not essential - Accurate measuring ability and good numeracy skills and experience of using measuring equipment. - The ability to understand the drawings provided. - Relevant qualifications would be desirable. - Previous welding/sheet metal experience essential. - Amada machinery experience preferable."
83fb8f78-4168-447c-94c3-e0290b218d0a,https://www.cv-library.co.uk/job/224377148/Estimator?hlkw=precision-people&sid=0a46c454-5a6a-4b48-a079-2cf128183471,precision people,Leicester,15 miles,Estimator,Precision People,Leicestershire (Job Role Location: Leicester),"£38,000 - £45,000/annum","Job Role: Estimator Location: Leicester Salary: £38,000-£45,000 Monday-Thursday 7.45 am-4.45 pm Friday 7.45 am- 2.15 pm Are you an experienced Estimator with a strong background in structural, secondary, or architectural steelwork? We're looking for a driven and detail-focused professional to join our Housebuilding division and play a key role in securing and delivering successful projects. About the Role In this exciting and varied position, you will manage the full tendering process from receiving enquiries and interpreting technical drawings to producing competitive bids and converting them into manufacturing packages. You'll work closely with internal teams and customers to ensure quotations are clear, accurate, commercially sound, and fully aligned with project requirements. You will also take ownership of customer relationships, identifying new opportunities and supporting ongoing business growth. Responsibilities: Read and interpret technical tender drawings and specifications, Extract and price materials accurately, Build detailed costings for materials, labour, plant, and site operations, Establish and manage supply chain costs, Produce and issue professional quotation documents, Liaise with clients to secure new and repeat business, Negotiate and finalise tenders, Maintain a consistent understanding of market pricing, Provide prompt, high-quality responses to all enquiries, Lead handover meetings with Contract Managers following tender. Skills & Experience: Minimum 3 years' experience in a similar estimating role, Strong understanding of structural, secondary, and architectural steelwork, Ability to read technical and architectural drawings, Good knowledge of building regulations, contract law, and health & safety legislation, High attention to detail with strong numerical and commercial awareness, Excellent IT, communication, and negotiation skills, Strong time management and organisational abilities, CRM experience and a full UK driving licence are About PrecisionPeople. About Precision People: Precision People is a leading recruitment agency that specialises in sourcing top talent for Engineering, Technical, Sales and Senior Management roles across a wide range of industries. With a focus on precision and quality, their team of expert recruiters works tirelessly to match the best candidates with the right employers, ensuring that both parties benefit from a successful partnership. Precision People has the expertise and resources to help you find the perfect role. With a deep understanding of the industry and a commitment to excellence, they have built a reputation for delivering exceptional results and exceeding their candidates' expectations. Interested? To apply for the position, here are your two options: 'This is the job for me! When can I start?' - Call now and let’s talk through your experience. Ask for Kirsty on (phone number removed) between 8.00am - 5.00pm. 'I think I'm right for this position, but I'm not sure I have enough to get an interview' - Click 'apply now' so I can read your CV and let you know. PPTP",,
b487997f-7dfa-4ea6-a4de-5218064c93c4,https://www.cv-library.co.uk/job/224267219/CNC-Setter-operator?hlkw=precision-people&sid=0a46c454-5a6a-4b48-a079-2cf128183471,precision people,Leicester,15 miles,CNC Setter / operator - Expiring soon!,Precision People,LE4,Payrate - ,"CNC Operator  
Location: Leicester LE4  
Hours: Monday to Thursday - 20.00 - 06.15  
Payrate -    
Interviews Happening Immediately  
Are you a skilled in Operating a CNC Milling and Turning Machine and looking for your next opportunity? We're working with a well-established and growing engineering firm in Leicester who are looking to add to their friendly team.  
This role offers great rates of pay,steady Night shifts,  and the opportunity to go permanent for the right person.  
What You'll Be Doing  
- Running a cell, operating a CNC Machine
- Working from detailed engineering drawings
- Operating CNC Milling and Turning Machines
- Machining components to a high standard
- Reporting to the machine shop Manager
- Occasionally working independently on varied jobs and materials
What We're Looking For  
- An experience CNC Milling and Turning operative
- Strong background in operating CNC Machines
- Confident reading technical drawings
- 3+ years experience working within an engineering environment
- Someone who can hit the ground running with operating a CNC Milling and turning machine
- Someone who is willing to learn and progress","CNC Operator  
Location: Leicester LE4  
Hours: Monday to Thursday - 20.00 - 06.15  
Payrate -    
Interviews Happening Immediately  
Are you a skilled in Operating a CNC Milling and Turning Machine and looking for your next opportunity? We're working with a well-established and growing engineering firm in Leicester who are looking to add to their friendly team.  
This role offers great rates of pay,steady Night shifts,  and the opportunity to go permanent for the right person.","What You'll Be Doing  
- Running a cell, operating a CNC Machine
- Working from detailed engineering drawings
- Operating CNC Milling and Turning Machines
- Machining components to a high standard
- Reporting to the machine shop Manager
- Occasionally working independently on varied jobs and materials
What We're Looking For  
- An experience CNC Milling and Turning operative
- Strong background in operating CNC Machines
- Confident reading technical drawings
- 3+ years experience working within an engineering environment
- Someone who can hit the ground running with operating a CNC Milling and turning machine
- Someone who is willing to learn and progress"
568b7094-6108-4239-9fc4-a591e7291587,https://www.cv-library.co.uk/job/224297813/CNC-Setter-Operator?hlkw=precision-people&sid=0a46c454-5a6a-4b48-a079-2cf128183471,precision people,Leicester,15 miles,CNC Setter / Operator,Precision People,"LE4 area of Leicester, commutable from Queniborough, Syston, Thurmaston, East Goscote and surrounding areas",£15.00 - £17.00/hour. Permanent Opportunity. Overtime paid at a premium.,"Permanent Opportunity
Paying upto £17.00 p/h 
Permanent role based in the LE4 area of Leicester, commutable from Queniborough, Syston, Thurmaston, East Goscote and surrounding areas
Our client is looking for an experienced CNC Setter / Operator with experience operating a CNC Milling Machine
Interviewing immediate
Working a day shift Monday to Thursday 06.30 - 16.45
Overtime paid at a premium
JOB PURPOSE
To report to the Machine Shop Supervisor
To set and Operate a CNC Milling Machine Machine
THE CNC Setter / Operator
CANDIDATE:
- Knowledge and experience of setting and operating a CNC Milling machine
- Knowledge of Mazak and Haas Controls
- Previously worked with or educated on CNC Milling Machining
- Previous engineering environment experience
- Previously worked with sheet metal
- Is from an engineering background
- Is able to read engineering drawings would be advantageous
- Able to use micrometers, verniers and gauges
- Has the ability to work on their own initiative.
- Motivated with the drive to succeed
Interested? To apply for the CNC Role, here are your two options:
- ""This is the job for me! When can I start?"" - Call now and let's talk through your experience. Ask for Stacey Catterall on (phone number removed) between 8am - 5pm or email (url removed) outside of these hours.
- ""I think I'm right for this position, but I'm not sure I have enough to be get an interview"" - Click ""apply now"" so I can read your CV and let you know
Precision are committed to keeping our candidates informed and offer a guaranteed response within 7 days when applying through the application system
Ref: CNC Operator
INDTEMP","Permanent Opportunity. Permanent role based in the LE4 area of Leicester, commutable from Queniborough, Syston, Thurmaston, East Goscote and surrounding areas. Our client is looking for an experienced CNC Setter / Operator with experience operating a CNC Milling Machine. Working a day shift Monday to Thursday 06.30 - 16.45.","JOB PURPOSE: To report to the Machine Shop Supervisor. To set and Operate a CNC Milling Machine Machine. CANDIDATE REQUIREMENTS: Knowledge and experience of setting and operating a CNC Milling machine, Knowledge of Mazak and Haas Controls, Previously worked with or educated on CNC Milling Machining, Previous engineering environment experience, Previously worked with sheet metal, Is from an engineering background, Is able to read engineering drawings would be advantageous, Able to use micrometers, verniers and gauges, Has the ability to work on their own initiative, Motivated with the drive to succeed."
8e5b8970-af94-4cfd-abd1-fc8ea4491d0c,https://www.cv-library.co.uk/job/224297927/CNC-setter-operator?hlkw=precision-people&sid=0a46c454-5a6a-4b48-a079-2cf128183471,precision people,Leicester,15 miles,CNC setter / operator,Precision People,"Leicester, Leicestershire","£32,000 - £36,000/annum, Overtime paid at a premium","Our client is looking for an experienced CNC Setter / Operator with experience operating a CNC Milling Machine
Interviewing immediate
Working a day shift Monday to Thursday 06.30 - 16.45
Overtime paid at a premium
**JOB PURPOSE**
To report to the Machine Shop Supervisor
To set and Operate a CNC Milling Machine Machine
**THE CNC Setter / Operator**
CANDIDATE:
- Knowledge and experience of setting and operating a CNC Milling machine
- Knowledge of Mazak and Haas Controls
- Previously worked with or educated on CNC Milling Machining
- Previous engineering environment experience
- Previously worked with sheet metal
- Is from an engineering background
- Is able to read engineering drawings would be advantageous
- Able to use micrometers, verniers and gauges
- Has the ability to work on their own initiative.
- Motivated with the drive to succeed
**Interested? To apply for the CNC Role**
**, here are your two options:**
- ""This is the job for me! When can I start?"" - Call now and let's talk through your experience. Ask for Stacey Catterall on (phone number removed) between 8am - 5pm or email (url removed) outside of these hours.
- ""I think I'm right for this position, but I'm not sure I have enough to be get an interview"" - Click ""apply now"" so I can read your CV and let you know
Precision are committed to keeping our candidates informed and offer a guaranteed response within 7 days when applying through the application system
Ref: CNC Operator
INDTEMP",Our client is looking for an experienced CNC Setter / Operator with experience operating a CNC Milling Machine,"JOB PURPOSE: To report to the Machine Shop Supervisor, To set and Operate a CNC Milling Machine Machine. CANDIDATE: Knowledge and experience of setting and operating a CNC Milling machine, Knowledge of Mazak and Haas Controls, Previously worked with or educated on CNC Milling Machining, Previous engineering environment experience, Previously worked with sheet metal, Is from an engineering background, Is able to read engineering drawings would be advantageous, Able to use micrometers, verniers and gauges, Has the ability to work on their own initiative., Motivated with the drive to succeed."
75636954-e482-445a-9139-95dca699c424,https://www.cv-library.co.uk/job/224338835/Welder?hlkw=precision-people&sid=0a46c454-5a6a-4b48-a079-2cf128183471,precision people,Leicester,15 miles,Welder,Precision People,Leicester LE4,Payrate: £14.50 p/h. Excellent hourly rate - up to £14.50 p/h. Day shifts only — no evenings or weekends. Genuine temp-to-perm opportunity. Great team environment and solid support from day one.,"Welder. Location: Leicester LE4. Hours: Monday to Friday 40 hrs. Payrate £14.50 p/h. Interviews Happening Immediately. Are you a skilled MIG Welder or Fabricator looking for your next opportunity? We're working with a well-established and growing engineering firm in Leicester LE4 who are looking to add to their friendly team. This role offers great rates of pay, steady day shifts, and the opportunity to go permanent for the right person. What You'll Be Doing: MIG welding Steel, Fabrication and assembly, Marking link bars, Grinding, Cleaning parts, Occasionally working independently on varied jobs and materials. What We're Looking For: Skilled welder/fabricator, Strong background in welding steel, Confident reading technical drawings, 3+ years experience working with steel, Someone who can hit the ground running and work on their own initiative. Why You'll Love It Here: Excellent hourly rate - up to £14.50 p/h, Day shifts only — no evenings or weekends, Genuine temp-to-perm opportunity, Great team environment and solid support from day one. Interested? Let's talk! Call Staecy Catterall on (phone number removed) between 8 am - 5 pm to discuss your experience and the next steps. Or click ""Apply Now"" and we'll be in touch to chat through your CV. Ref: Welder. INDTEMP.","Welder. Location: Leicester LE4. Hours: Monday to Friday 40 hrs. Payrate £14.50 p/h. Interviews Happening Immediately. Are you a skilled MIG Welder or Fabricator looking for your next opportunity? We're working with a well-established and growing engineering firm in Leicester LE4 who are looking to add to their friendly team. This role offers great rates of pay, steady day shifts, and the opportunity to go permanent for the right person.","What You'll Be Doing: MIG welding Steel, Fabrication and assembly, Marking link bars, Grinding, Cleaning parts, Occasionally working independently on varied jobs and materials. What We're Looking For: Skilled welder/fabricator, Strong background in welding steel, Confident reading technical drawings, 3+ years experience working with steel, Someone who can hit the ground running and work on their own initiative."
4e894feb-db34-4a1d-97ad-701e62fec658,https://www.cv-library.co.uk/job/224338520/General-op-with-FLT-licence?hlkw=precision-people&sid=0a46c454-5a6a-4b48-a079-2cf128183471,precision people,Leicester,15 miles,General op with FLT licence,Precision People,Leicester LE3,Payrate upto £13.50p/h. Excellent hourly rate - up to £13.50 p/h. Day shifts only — no evenings or weekends. Genuine temp-to-perm opportunity. Great team environment and solid support from day one.,"Are you a skilled flt driver who has previous experience in an engineering environmentand looking for your next opportunity? We're working with a well-established and growing engineering firm in Leicester who are looking to add to their friendly team. This role offers great rates of pay, steady day shifts, and the opportunity to go permanent for the right person. What You'll Be Doing Operating an FLT Loading and unloading of trailers Making deliveries so a valid uk driving licence is essential Prepping parts ready for the paint shop Other general duties What We're Looking For Someone who has a nationally accreditedFLT Licence You must hold a Full UK driving licence previous experience within an engineering environment ability to load and unload parts Someone who can hit the ground running and work on their own initiative Why You'll Love It Here Excellent hourly rate - up to £13.50 p/h Day shifts only — no evenings or weekends Genuine temp-to-perm opportunity Great team environment and solid support from day one Interested? Let's talk! Call Staecy Catterall on (phone number removed) between 8 am - 5 pm to discuss your experience and the next steps. Or click ""Apply Now"" and we'll be in touch to chat through your CV. Ref: Plater Welder / Fabricator INDTEMP","Are you a skilled flt driver who has previous experience in an engineering environmentand looking for your next opportunity? We're working with a well-established and growing engineering firm in Leicester who are looking to add to their friendly team. This role offers great rates of pay, steady day shifts, and the opportunity to go permanent for the right person.","What You'll Be Doing: Operating an FLT, Loading and unloading of trailers, Making deliveries so a valid uk driving licence is essential, Prepping parts ready for the paint shop, Other general duties. What We're Looking For: Someone who has a nationally accreditedFLT Licence, You must hold a Full UK driving licence, previous experience within an engineering environment, ability to load and unload parts, Someone who can hit the ground running and work on their own initiative."
6531b65d-7e8f-492d-8a67-161fda21c9ae,https://www.cv-library.co.uk/job/223413592/Welder?hlkw=precision-people&sid=0a46c454-5a6a-4b48-a079-2cf128183471,precision people,Leicester,15 miles,Welder,Precision People,Leicester LE2 (also mentions Oadby as location/rate reference),"Salary: £15 - £16/hour. Benefits: Excellent hourly rate - up to £16.00, Day Shift Only (Mon - Thurs 0700 - 1600 Friday 0700 - 1300), Genuine temp-to-perm opportunity, Great team environment and solid support from day one.","Welder Location: Leicester LE2 Hours: Mon - Thurs 0700 - 1600 Friday 0700 - 1300 Interviews Happening Immediately Are you a skilled Welder Fabricator looking for your next opportunity? We’re working with a well-established and growing engineering firm in Leicester who are looking to add to their friendly team. This role offers great rates of pay, day shifts and the opportunity to go permanent for the right person. What You’ll Be Doing Welding and fabricating MIG Welding up to 5mm Fabricating Mild steel to a high standard Reporting to the engineering manager Operating both the CNC Laser and CNC Press brake when required What We're Looking For - Apprentice-trained or time-served welder/fabricator - Strong background in MIG welding and fabrication - Confident reading technical drawings - 2+years experience working with mid to heavy gauge mild steel - Someone who can hit the ground running and work on their own initiative Why You’ll Love It Here - Excellent hourly rate - up to £16.00 - Day Shift Only - Genuine temp-to-perm opportunity - Great team environment and solid support from day one Interested? Let’s talk! Call Sharon Pickering on (phone number removed) between 8 am - 5 pm to discuss your experience and the next steps. Or click “Apply Now” and we’ll be in touch to chat through your CV. Ref MIG Welder/Fabricator INDTEMP","Are you a skilled Welder Fabricator looking for your next opportunity? We’re working with a well-established and growing engineering firm in Leicester who are looking to add to their friendly team. This role offers great rates of pay, day shifts and the opportunity to go permanent for the right person.","What You’ll Be Doing: Welding and fabricating, MIG Welding up to 5mm, Fabricating Mild steel to a high standard, Reporting to the engineering manager, Operating both the CNC Laser and CNC Press brake when required. What We're Looking For: Apprentice-trained or time-served welder/fabricator, Strong background in MIG welding and fabrication, Confident reading technical drawings, 2+years experience working with mid to heavy gauge mild steel, Someone who can hit the ground running and work on their own initiative."
