job_id,source_url,search_job_title,search_location,search_radius_miles,scraped_job_title,recruiter_name,job_location_text,salary_benefits,full_job_description,description_snippet,responsibilities_snippet
,,,,,,,,,,"Parse error: Expecting ',' delimiter: line 6 column 2422 (char 2660)",
,,,,,,,,,,Parse error: Invalid control character at: line 6 column 269 (char 448),
2cc067db-fa96-4802-aab8-c56211e4a00e,https://www.cv-library.co.uk/job/224351632/Work-Shop-supervisor?hlkw=precision-people&sid=82887337-1762-4da9-8831-7ea3789b17fd,precision people,Leicester,15 miles,Work Shop supervisor,Precision People,"Leicester LE3 6NW (Commutable from Coventry, Hinckley, Rugby, Nuneaton and other areas close to South Leicestershire. Also mentioned: Glenfield)","Up to £36k Per Annum, Pension, Day Shifts - Mon to Thurs 07.30-16.30, Friday 07.30-1400 (Early Finish Friday)","Experience Required - Production Supervisor Fabrication shop Engineering Manufacturing Industry Leicester LE3 Up to £36k Per Annum Day Shifts - Early Finish Friday Are you an experienced Supervisor, Team Leader or Workshop Manager from the Engineering Manufacturing industry? Would you like to lead and develop a motivated team within an established family-owned business? Our client is a leading engineering manufacturer based in Leicester. They are currently looking for new Production Supervisor to run their fabrication workshop. Commutable from Coventry, Hinckley, Rugby, Nuneaton and other areas close to South Leicestershire. The Role - Fabrication supervisor - To lead, motivate and manage a team of fabricators on a daily basis. - Liaising with the office regarding bespoke requirements and sharing thoughts and experience regarding more complex specifications. - To oversee all works being carried out in the workshop to ensure customer satisfaction at all times. - Interpreting drawings received. - Welding various fabricated material. - Oversee laser cutting, shearing, folding, punching, and rubbering material using the relevant machinery. - Arranging adequate and relevant training for new and existing staff as necessary. - Working with other staff members effectively by coordinating workload. - Adhering to health and safety regulations. - All other duties as required that are considered to be a reasonable employer request. - At least 5 years' experience in metal sheet fabrication. - Competent with all aspect of fabrication. - Use of CAD drawings - Forklift licence would be preferable but not essential - Accurate measuring ability and good numeracy skills and experience of using measuring equipment. - The ability to understand the drawings provided. - Relevant qualifications would be desirable. - Previous welding/sheet metal experience essential. - Amada machinery experience preferable. The Package - Fabrication/shop floor supervisor","Are you an experienced Supervisor, Team Leader or Workshop Manager from the Engineering Manufacturing industry? Would you like to lead and develop a motivated team within an established family-owned business? Our client is a leading engineering manufacturer based in Leicester. They are currently looking for new Production Supervisor to run their fabrication workshop.","The Role - Fabrication supervisor: To lead, motivate and manage a team of fabricators on a daily basis. Liaising with the office regarding bespoke requirements and sharing thoughts and experience regarding more complex specifications. To oversee all works being carried out in the workshop to ensure customer satisfaction at all times. Interpreting drawings received. Welding various fabricated material. Oversee laser cutting, shearing, folding, punching, and rubbering material using the relevant machinery. Arranging adequate and relevant training for new and existing staff as necessary. Working with other staff members effectively by coordinating workload. Adhering to health and safety regulations. All other duties as required that are considered to be a reasonable employer request. Requirements/Experience: At least 5 years' experience in metal sheet fabrication. Competent with all aspect of fabrication. Use of CAD drawings. Forklift licence would be preferable but not essential. Accurate measuring ability and good numeracy skills and experience of using measuring equipment. The ability to understand the drawings provided. Relevant qualifications would be desirable. Previous welding/sheet metal experience essential. Amada machinery experience preferable."
045eaafd-0593-48d7-8a89-f0b8a2e3d6a5,https://www.cv-library.co.uk/job/224267219/CNC-Setter-operator?hlkw=precision-people&sid=82887337-1762-4da9-8831-7ea3789b17fd,precision people,Leicester,15 miles,CNC Setter / operator,Precision People,Leicester LE4,"Payrate - £15.00 p/h, great rates of pay, steady Night shifts, and the opportunity to go permanent for the right person.","CNC Operator Location: Leicester LE4 Hours: Monday to Thursday - 20.00 - 06.15 Payrate - £15.00 p/h Interviews Happening Immediately Are you a skilled in Operating a CNC Milling and Turning Machine and looking for your next opportunity? We're working with a well-established and growing engineering firm in Leicester who are looking to add to their friendly team. This role offers great rates of pay, steady Night shifts, and the opportunity to go permanent for the right person. What You'll Be Doing - Running a cell, operating a CNC Machine - Working from detailed engineering drawings - Operating CNC Milling and Turning Machines - Machining components to a high standard - Reporting to the machine shop Manager - Occasionally working independently on varied jobs and materials What We're Looking For - An experience CNC Milling and Turning operative - Strong background in operating CNC Machines - Confident reading technical drawings - 3+ years experience working within an engineering environment - Someone who can hit the ground running with operating a CNC Milling and turning machine - Someone who is willing to learn and progress","Are you a skilled in Operating a CNC Milling and Turning Machine and looking for your next opportunity? We're working with a well-established and growing engineering firm in Leicester who are looking to add to their friendly team. This role offers great rates of pay, steady Night shifts, and the opportunity to go permanent for the right person.","What You'll Be Doing: - Running a cell, operating a CNC Machine - Working from detailed engineering drawings - Operating CNC Milling and Turning Machines - Machining components to a high standard - Reporting to the machine shop Manager - Occasionally working independently on varied jobs and materials What We're Looking For: - An experience CNC Milling and Turning operative - Strong background in operating CNC Machines - Confident reading technical drawings - 3+ years experience working within an engineering environment - Someone who can hit the ground running with operating a CNC Milling and turning machine - Someone who is willing to learn and progress"
38f22126-fb5e-4f6a-ad30-c2f9488cdd6c,https://www.cv-library.co.uk/job/224297813/CNC-Setter-Operator?hlkw=precision-people&sid=82887337-1762-4da9-8831-7ea3789b17fd,precision people,Leicester,15 miles,CNC Setter / Operator,Precision People,LE4,£15.00 - £17.00/hour. Permanent Opportunity. Paying upto £17.00 p/h. Overtime paid at a premium.,"Permanent Opportunity  
 Paying upto £17.00 p/h   
 Permanent role based in the LE4 area of Leicester, commutable from Queniborough, Syston, Thurmaston, East Goscote and surrounding areas  
 Our client is looking for an experienced CNC Setter / Operator with experience operating a CNC Milling Machine  
 Interviewing immediate  
 Working a day shift Monday to Thursday 06.30 - 16.45  
 Overtime paid at a premium  
**JOB PURPOSE**  
 To report to the Machine Shop Supervisor  
To set and Operate a CNC Milling Machine Machine  
**THE CNC Setter / Operator**  
 CANDIDATE:  
- Knowledge and experience of setting and operating a CNC Milling machine
- Knowledge of Mazak and Haas Controls
- Previously worked with or educated on CNC Milling Machining
- Previous engineering environment experience
- Previously worked with sheet metal
- Is from an engineering background
- Is able to read engineering drawings would be advantageous
- Able to use micrometers, verniers and gauges
- Has the ability to work on their own initiative.
- Motivated with the drive to succeed
**Interested? To apply for the CNC Role**  
**, here are your two options:**  
- ""This is the job for me! When can I start?"" - Call now and let's talk through your experience. Ask for Stacey Catterall on (phone number removed) between 8am - 5pm or email (url removed) outside of these hours.
- ""I think I'm right for this position, but I'm not sure I have enough to be get an interview"" - Click ""apply now"" so I can read my CV and let you know
Precision are committed to keeping our candidates informed and offer a guaranteed response within 7 days when applying through the application system  
 Ref: CNC Operator  
 INDTEMP","Permanent Opportunity. Paying upto £17.00 p/h. Permanent role based in the LE4 area of Leicester, commutable from Queniborough, Syston, Thurmaston, East Goscote and surrounding areas. Our client is looking for an experienced CNC Setter / Operator with experience operating a CNC Milling Machine. Interviewing immediate. Working a day shift Monday to Thursday 06.30 - 16.45. Overtime paid at a premium.","JOB PURPOSE:
To report to the Machine Shop Supervisor. To set and Operate a CNC Milling Machine Machine.

CANDIDATE REQUIREMENTS:
- Knowledge and experience of setting and operating a CNC Milling machine
- Knowledge of Mazak and Haas Controls
- Previously worked with or educated on CNC Milling Machining
- Previous engineering environment experience
- Previously worked with sheet metal
- Is from an engineering background
- Is able to read engineering drawings would be advantageous
- Able to use micrometers, verniers and gauges
- Has the ability to work on their own initiative.
- Motivated with the drive to succeed"
7f4e6b6c-b541-4fda-9625-566c45622370,https://www.cv-library.co.uk/job/224297927/CNC-setter-operator?hlkw=precision-people&sid=82887337-1762-4da9-8831-7ea3789b17fd,precision people,Leicester,15 miles,CNC setter / operator,Precision People,"LE4 (Permanent role based in the LE4 area of Leicester, commutable from Queniborough, Syston, Thurmaston, East Goscote and surrounding areas)",Paying upto £17.00 p/h. Overtime paid at a premium.,"Permanent Opportunity
Paying upto £17.00 p/h
Permanent role based in the LE4 area of Leicester, commutable from Queniborough, Syston, Thurmaston, East Goscote and surrounding areas
Our client is looking for an experienced CNC Setter / Operator with experience operating a CNC Milling Machine
Interviewing immediate
Working a day shift Monday to Thursday 06.30 - 16.45
Overtime paid at a premium
**JOB PURPOSE**
To report to the Machine Shop Supervisor
To set and Operate a CNC Milling Machine Machine
**THE CNC Setter / Operator**
CANDIDATE:
- Knowledge and experience of setting and operating a CNC Milling machine
- Knowledge of Mazak and Haas Controls
- Previously worked with or educated on CNC Milling Machining
- Previous engineering environment experience
- Previously worked with sheet metal
- Is from an engineering background
- Is able to read engineering drawings would be advantageous
- Able to use micrometers, verniers and gauges
- Has the ability to work on their own initiative.
- Motivated with the drive to succeed
**Interested? To apply for the CNC Role**, here are your two options:
- ""This is the job for me! When can I start?"" - Call now and let's talk through your experience. Ask for Stacey Catterall on (phone number removed) between 8am - 5pm or email (url removed) outside of these hours.
- ""I think I'm right for this position, but I'm not sure I have enough to be get an interview"" - Click ""apply now"" so I can read your CV and let you know
Precision are committed to keeping our candidates informed and offer a guaranteed response within 7 days when applying through the application system
Ref: CNC Operator
INDTEMP","Permanent Opportunity
Paying upto £17.00 p/h
Permanent role based in the LE4 area of Leicester, commutable from Queniborough, Syston, Thurmaston, East Goscote and surrounding areas
Our client is looking for an experienced CNC Setter / Operator with experience operating a CNC Milling Machine
Interviewing immediate
Working a day shift Monday to Thursday 06.30 - 16.45
Overtime paid at a premium","CANDIDATE:
- Knowledge and experience of setting and operating a CNC Milling machine
- Knowledge of Mazak and Haas Controls
- Previously worked with or educated on CNC Milling Machining
- Previous engineering environment experience
- Previously worked with sheet metal
- Is from an engineering background
- Is able to read engineering drawings would be advantageous
- Able to use micrometers, verniers and gauges
- Has the ability to work on their own initiative.
- Motivated with the drive to succeed"
,,,,,,,,,,Parse error: Invalid control character at: line 5 column 31 (char 145),
36c955b3-1f30-46d4-8c5c-127e0419d7b9,https://www.cv-library.co.uk/job/224338520/General-op-with-FLT-licence?hlkw=precision-people&sid=82887337-1762-4da9-8831-7ea3789b17fd,precision people,Leicester,15 miles,General op with FLT licence,Precision People,Leicester LE3,Payrate upto £13.50p/h. Excellent hourly rate - up to £13.50 p/h. Day shifts only — no evenings or weekends. Genuine temp-to-perm opportunity. Great team environment and solid support from day one.,"General operative with FLT Licence Location: Leicester LE3 Hours: Monday to Thursday 07.30 - 16.0 Friday 07.30 - 14.00 Payrate upto £13.50p/h Interviews Happening Immediately Are you a skilled flt driver who has previous experience in an engineering environmentand looking for your next opportunity? We're working with a well-established and growing engineering firm in Leicester who are looking to add to their friendly team. This role offers great rates of pay, steady day shifts, and the opportunity to go permanent for the right person. What You'll Be Doing - Operating an FLT - Loading and unloading of trailers - Making deliveries so a valid uk driving licence is essential - Prepping parts ready for the paint shop - Other general duties What We're Looking For - Someone who has a nationally accreditedFLT Licence - You must hold a Full UK driving licence - previous experience within an engineering environment - ability to load and unload parts - Someone who can hit the ground running and work on their own initiative Why You'll Love It Here - Excellent hourly rate - up to £13.50 p/h - Day shifts only — no evenings or weekends - Genuine temp-to-perm opportunity - Great team environment and solid support from day one Interested? Let's talk! Call Staecy Catterall on (phone number removed) between 8 am - 5 pm to discuss your experience and the next steps. Or click ""Apply Now"" and we'll be in touch to chat through your CV. Ref: Plater Welder / Fabricator INDTEMP","Are you a skilled flt driver who has previous experience in an engineering environmentand looking for your next opportunity? We're working with a well-established and growing engineering firm in Leicester who are looking to add to their friendly team. This role offers great rates of pay, steady day shifts, and the opportunity to go permanent for the right person.",What You'll Be Doing - Operating an FLT - Loading and unloading of trailers - Making deliveries so a valid uk driving licence is essential - Prepping parts ready for the paint shop - Other general duties What We're Looking For - Someone who has a nationally accreditedFLT Licence - You must hold a Full UK driving licence - previous experience within an engineering environment - ability to load and unload parts - Someone who can hit the ground running and work on their own initiative
57b025a4-5c59-4167-beaf-915a1ceed4bc,https://www.cv-library.co.uk/job/224231736/Laser-operator?hlkw=precision-people&sid=82887337-1762-4da9-8831-7ea3789b17fd,precision people,Leicester,15 miles,Laser operator,Precision People,"Leicester , LE3, LE3 6NW","Payrate - £14.00 per hour. Benefits include: Excellent hourly rate - up to £ 14.00 p/h, Late shifts only — no weekends, Genuine Perm opportunity, Great team environment and solid support from day one.","Laser Operator. Location: Leicester , LE3. Hours: Monday to Thursday 0630 - 1530. Friday 0630 - 1230. Payrate - £14.00 per hour. Interviews Happening Immediately. Are you a skilled Laser operator looking for your next opportunity? We're working with a well-established and growing engineering firm in Leicester who are looking to add to their friendly team. What You'll Be Doing: - Working from detailed engineering drawings. - Operating an Amada press Brake. - Removing parts and tags. - Operating a press brake. - Ensuring components are to a high standard. - Reporting to the workshop Manager. - Occasionally working independently on varied jobs and materials. What We're Looking For: - Fully skilled Amada Laser operator. - Strong background in an engineering environment. - Confident reading technical drawings. - 3+ years experience working with an Amada laser. - Press brake operating experience preferred but not essential. - Someone who can hit the ground running and work on their own initiative. Why You'll Love It Here: - Excellent hourly rate - up to £ 14.00 p/h. - Late shifts only — no weekends. - Genuine Perm opportunity. - Great team environment and solid support from day one. Interested? Let's talk! Call Sharon Pickering on (phone number removed) between 8 am - 5 pm to discuss your experience and the next steps. Or click ""Apply Now"" and we'll be in touch to chat through your CV. Ref: Laser Operator. INDTEMP.","A permanent opportunity for a skilled Laser Operator to join a well-established and growing engineering firm in Leicester, working Monday to Friday with no weekends, primarily operating an Amada laser and press brake.","Key responsibilities include: Working from detailed engineering drawings, Operating an Amada press Brake, Removing parts and tags, Operating a press brake, Ensuring components are to a high standard. Key skills and requirements include: Fully skilled Amada Laser operator, Strong background in an engineering environment, Confident reading technical drawings, 3+ years experience working with an Amada laser, Press brake operating experience preferred but not essential, Someone who can hit the ground running and work on their own initiative."
0b467c58-e7cd-4a16-b04d-89d722dc5838,https://www.cv-library.co.uk/job/223413592/Welder?hlkw=precision-people&sid=82887337-1762-4da9-8831-7ea3789b17fd,precision people,Leicester,15 miles,Welder,Precision People,Oadby; Location: Leicester LE2,"£15 - £16/hour. Benefits: Excellent hourly rate - up to £16.00, Day Shift Only, Genuine temp-to-perm opportunity, Great team environment and solid support from day one","Welder Location: Leicester LE2. Hours: Mon - Thurs 0700 - 1600 Friday 0700 - 1300. Interviews Happening Immediately. Are you a skilled Welder Fabricator looking for your next opportunity? We’re working with a well-established and growing engineering firm in Leicester who are looking to add to their friendly team. This role offers great rates of pay, day shifts and the opportunity to go permanent for the right person. What You’ll Be Doing Welding and fabricating. MIG Welding up to 5mm. Fabricating Mild steel to a high standard. Reporting to the engineering manager. Operating both the CNC Laser and CNC Press brake when required. What We're Looking For Apprentice-trained or time-served welder/fabricator. Strong background in MIG welding and fabrication. Confident reading technical drawings. 2+years experience working with mid to heavy gauge mild steel. Someone who can hit the ground running and work on their own initiative. Why You’ll Love It Here Excellent hourly rate - up to £16.00. Day Shift Only. Genuine temp-to-perm opportunity. Great team environment and solid support from day one. Interested? Let’s talk! Call Sharon Pickering on (phone number removed) between 8 am - 5 pm to discuss your experience and the next steps. Or click “Apply Now” and we’ll be in touch to chat through your CV. Ref MIG Welder/Fabricator. INDTEMP","A Contract opportunity for a skilled Welder Fabricator with a well-established and growing engineering firm in Leicester. The role offers day shifts, competitive pay, and the opportunity to go permanent.","Responsibilities: Welding and fabricating, MIG Welding up to 5mm, Fabricating Mild steel to a high standard, Reporting to the engineering manager, Operating both the CNC Laser and CNC Press brake when required. Requirements: Apprentice-trained or time-served welder/fabricator, Strong background in MIG welding and fabrication, Confident reading technical drawings, 2+years experience working with mid to heavy gauge mild steel, Someone who can hit the ground running and work on their own initiative."
