job_id,scraped_job_title,recruiter_name,job_location_text,full_job_description,extracted_clues,potential_companies,analysis_summary,top_company,top_confidence
5e2a6ddd-fd3b-4d62-8332-33202537b9c5,Agile Scrum Master 38207,Jonathan Lee Recruitment Ltd,Gaydon,"The position you are looking for Agile Scrum Master 38207 in Gaydon is no longer available, but here are some jobs that might interest you Similar jobs No Job Matches Sorry there are no jobs matching to your criteria.","{""error"": ""Error code: 404 - {'error': {'message': 'The model `o1-preview` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'param': None, 'code': 'model_not_found'}}"", ""location_clues"": {}, ""sector_clues"": {}, ""machinery_clues"": [], ""software_clues"": [], ""standards_clues"": [], ""salary_benefits_clues"": {}, ""role_clues"": {}, ""org_clues"": [], ""narrative_clues"": [], ""work_environment_clues"": [], ""customer_market_clues"": [], ""travel_clues"": [], ""unique_differentiators"": [], ""summary_narrative"": ""Error extracting clues""}",[],"Error: Error code: 404 - {'error': {'message': 'The model `o1-preview` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'param': None, 'code': 'model_not_found'}}",,0.0
,,,,,"{""error"": ""Error code: 404 - {'error': {'message': 'The model `o1-preview` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'param': None, 'code': 'model_not_found'}}"", ""location_clues"": {}, ""sector_clues"": {}, ""machinery_clues"": [], ""software_clues"": [], ""standards_clues"": [], ""salary_benefits_clues"": {}, ""role_clues"": {}, ""org_clues"": [], ""narrative_clues"": [], ""work_environment_clues"": [], ""customer_market_clues"": [], ""travel_clues"": [], ""unique_differentiators"": [], ""summary_narrative"": ""Error extracting clues""}",[],"Error: Error code: 404 - {'error': {'message': 'The model `o1-preview` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'param': None, 'code': 'model_not_found'}}",,0.0
4ded40e1-4057-4463-bd9a-902b7d37a78d,Graduate- Entry Assistant Buyer,Page Personnel,"Wakefield, West Yorkshire","The position you are looking for Graduate- Entry Assistant Buyer in Wakefield, West Yorkshire is no longer available, but here are some jobs that might interest you","{""error"": ""Error code: 404 - {'error': {'message': 'The model `o1-preview` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'param': None, 'code': 'model_not_found'}}"", ""location_clues"": {}, ""sector_clues"": {}, ""machinery_clues"": [], ""software_clues"": [], ""standards_clues"": [], ""salary_benefits_clues"": {}, ""role_clues"": {}, ""org_clues"": [], ""narrative_clues"": [], ""work_environment_clues"": [], ""customer_market_clues"": [], ""travel_clues"": [], ""unique_differentiators"": [], ""summary_narrative"": ""Error extracting clues""}",[],"Error: Error code: 404 - {'error': {'message': 'The model `o1-preview` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'param': None, 'code': 'model_not_found'}}",,0.0
,,,,,"{""error"": ""Error code: 404 - {'error': {'message': 'The model `o1-preview` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'param': None, 'code': 'model_not_found'}}"", ""location_clues"": {}, ""sector_clues"": {}, ""machinery_clues"": [], ""software_clues"": [], ""standards_clues"": [], ""salary_benefits_clues"": {}, ""role_clues"": {}, ""org_clues"": [], ""narrative_clues"": [], ""work_environment_clues"": [], ""customer_market_clues"": [], ""travel_clues"": [], ""unique_differentiators"": [], ""summary_narrative"": ""Error extracting clues""}",[],"Error: Error code: 404 - {'error': {'message': 'The model `o1-preview` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'param': None, 'code': 'model_not_found'}}",,0.0
5d6fb1da-d5e9-4ee3-b3b2-f2015cd9e1d4,Head of Development Management,Carrington West,Somerset,,"{""error"": ""Error code: 404 - {'error': {'message': 'The model `o1-preview` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'param': None, 'code': 'model_not_found'}}"", ""location_clues"": {}, ""sector_clues"": {}, ""machinery_clues"": [], ""software_clues"": [], ""standards_clues"": [], ""salary_benefits_clues"": {}, ""role_clues"": {}, ""org_clues"": [], ""narrative_clues"": [], ""work_environment_clues"": [], ""customer_market_clues"": [], ""travel_clues"": [], ""unique_differentiators"": [], ""summary_narrative"": ""Error extracting clues""}",[],"Error: Error code: 404 - {'error': {'message': 'The model `o1-preview` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'param': None, 'code': 'model_not_found'}}",,0.0
,,,,,"{""error"": ""Error code: 404 - {'error': {'message': 'The model `o1-preview` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'param': None, 'code': 'model_not_found'}}"", ""location_clues"": {}, ""sector_clues"": {}, ""machinery_clues"": [], ""software_clues"": [], ""standards_clues"": [], ""salary_benefits_clues"": {}, ""role_clues"": {}, ""org_clues"": [], ""narrative_clues"": [], ""work_environment_clues"": [], ""customer_market_clues"": [], ""travel_clues"": [], ""unique_differentiators"": [], ""summary_narrative"": ""Error extracting clues""}",[],"Error: Error code: 404 - {'error': {'message': 'The model `o1-preview` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'param': None, 'code': 'model_not_found'}}",,0.0
d6848ae8-b1c7-488a-a325-d8767498894e,Registered Nurse,WR Health,"Billericay, Essex",,"{""error"": ""Error code: 404 - {'error': {'message': 'The model `o1-preview` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'param': None, 'code': 'model_not_found'}}"", ""location_clues"": {}, ""sector_clues"": {}, ""machinery_clues"": [], ""software_clues"": [], ""standards_clues"": [], ""salary_benefits_clues"": {}, ""role_clues"": {}, ""org_clues"": [], ""narrative_clues"": [], ""work_environment_clues"": [], ""customer_market_clues"": [], ""travel_clues"": [], ""unique_differentiators"": [], ""summary_narrative"": ""Error extracting clues""}",[],"Error: Error code: 404 - {'error': {'message': 'The model `o1-preview` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'param': None, 'code': 'model_not_found'}}",,0.0
,,,,,"{""error"": ""Error code: 404 - {'error': {'message': 'The model `o1-preview` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'param': None, 'code': 'model_not_found'}}"", ""location_clues"": {}, ""sector_clues"": {}, ""machinery_clues"": [], ""software_clues"": [], ""standards_clues"": [], ""salary_benefits_clues"": {}, ""role_clues"": {}, ""org_clues"": [], ""narrative_clues"": [], ""work_environment_clues"": [], ""customer_market_clues"": [], ""travel_clues"": [], ""unique_differentiators"": [], ""summary_narrative"": ""Error extracting clues""}",[],"Error: Error code: 404 - {'error': {'message': 'The model `o1-preview` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'param': None, 'code': 'model_not_found'}}",,0.0
3033f281-0ab3-4385-8acd-62c51e385986,Senior Town Planning Officer (Job ID 218084066 is unavailable),Carrington West,Cambridgeshire,"The position you are looking for Senior Town Planning Officer in Cambridgeshire is no longer available, but here are some jobs that might interest you Similar jobs Graduate Planner Cambridge, Cambridgeshire , £25000 - £30000/annum Benefits View Apply Related Searches Construction jobs in Cambridgeshire Jobs in Cambridgeshire Construction Planning jobs in Cambridgeshire Aerospace jobs Agriculture jobs Automotive jobs Construction jobs Distribution jobs Engineering jobs IT jobs Manufacturing jobs Property Services jobs Surveying jobs Create new Job Alert Create a new Job Alert to make sure you see the best new jobs first! Keywords/Job Title Senior Town Planning Officer Location Cambridgeshire Distance Email address Create Job Alert Carrington West View all jobs and profile Jobseekers Register CV Advice Job Alerts Career Advice Salary Guide Popular Search Jobs Employers Agencies Popular jobs Salary Tax Calculator Recruiters CV Database Access Advertise Jobs Search CVs Test CV Search Recruiter blog About CV-Library About us Contact us Work for us Help Job Search App Search jobs Download the CV-Library iPhone App Download the CV-Library Android App Like our Facebook page Follow us on Twitter Follow us on LinkedIn Follow us on Instagram Join us on Youtube Follow us on TikTok Support links Terms & Conditions Privacy Cookies Feedback Site Map Partners © Copyright 2000 - 2025 CV-Library Ltd. All rights reserved Accept all to see more relevant jobs We use cookies to enhance your experience, analyse site performance, and deliver you more relevant jobs. You can manage your cookie preferences by clicking ‘Cookie Settings.’ Essential Cookies Only Cookies Settings Accept All","{""error"": ""Error code: 404 - {'error': {'message': 'The model `o1-preview` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'param': None, 'code': 'model_not_found'}}"", ""location_clues"": {}, ""sector_clues"": {}, ""machinery_clues"": [], ""software_clues"": [], ""standards_clues"": [], ""salary_benefits_clues"": {}, ""role_clues"": {}, ""org_clues"": [], ""narrative_clues"": [], ""work_environment_clues"": [], ""customer_market_clues"": [], ""travel_clues"": [], ""unique_differentiators"": [], ""summary_narrative"": ""Error extracting clues""}",[],"Error: Error code: 404 - {'error': {'message': 'The model `o1-preview` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'param': None, 'code': 'model_not_found'}}",,0.0
d40d4e49-d416-47ed-b4a7-c05cfc9eba9d,Regional Pump Sales Manager,Kemp Recruitment Ltd,Norwich,,"{""error"": ""Error code: 404 - {'error': {'message': 'The model `o1-preview` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'param': None, 'code': 'model_not_found'}}"", ""location_clues"": {}, ""sector_clues"": {}, ""machinery_clues"": [], ""software_clues"": [], ""standards_clues"": [], ""salary_benefits_clues"": {}, ""role_clues"": {}, ""org_clues"": [], ""narrative_clues"": [], ""work_environment_clues"": [], ""customer_market_clues"": [], ""travel_clues"": [], ""unique_differentiators"": [], ""summary_narrative"": ""Error extracting clues""}",[],"Error: Error code: 404 - {'error': {'message': 'The model `o1-preview` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'param': None, 'code': 'model_not_found'}}",,0.0
