job_id,source_url,search_job_title,search_location,search_radius_miles,scraped_job_title,recruiter_name,job_location_text,salary_benefits,full_job_description,description_snippet,responsibilities_snippet
a5de543e-a563-4ef0-b50c-960f46db184e,https://www.cv-library.co.uk/job/224266001/Panel-Wirer?hlkw=precision-people&sid=501825dc-cd5b-4c91-ba44-4205bbcba194,precision people,Leicester,15 miles,Panel Wirer,Precision People,"LE8 6LP, Leicester, LE8","Pay rate £22 CIS or £17 Paye, Basic salary of £17 per hour paye or £22 CIS, Overtime available daily, Free onsite parking","Panel Wirer
Contract role 
Machine Building Industry
Leicester, LE8
Days Shifts - Early Finish Friday
Pay rate £22 CIS or £17 Paye 
Are you an experienced Panel Wirer looking for an exciting Contract opportunity within a developing industry? If yes, read on.... 
I'm excited to share an opportunity with a forward-thinking engineering company that's on the lookout for an experienced Panel Wireman or Control Wirer. This is an ideal role for someone who thrives in high-precision environments and has a proven track record in Panel Wiring. 
The Role - Panel Wirer:
- Building and wiring control panels
- Machine wiring
- Working to wiring schematics
- Using a variety of hand tools
- Day Shifts, Early Finish Friday
 Minimum Skills / Experience Required - Panel Wireman:
- Extensive experience in panel wiring or machine control wiring
- Strong understanding and experience with schematics
- Ability to use the required hand tools
- The ability to work with minimal supervision and deliver high standards
- Problem-solving skills and attention to detail
- Motivated and excellent team player
- Able to commute to the LE8 area
 The Package - Electrical Fitter:
- Basic salary of £17 per hour paye or £22 CIS
- Overtime available daily
- Free onsite parking
About PrecisionPeople
PrecisionPeople is a leading recruitment agency that specialises in sourcing top talent for Engineering, Technical, Sales and Senior Management roles across a wide range of industries. With a focus on precision and quality, their team of expert recruiters works tirelessly to match the best candidates with the right employers, ensuring that both parties benefit from a successful partnership. 
PrecisionPeople has the expertise and resources to help you find the perfect role. With a deep understanding of the industry and a commitment to excellence, they have built a reputation for delivering exceptional results and exceeding their candidates expectations.","Contract role in the Machine Building Industry in Leicester, LE8, with Days Shifts and an Early Finish Friday. The company is a forward-thinking engineering company looking for an experienced Panel Wireman or Control Wirer who thrives in high-precision environments.",Building and wiring control panels; Machine wiring; Working to wiring schematics; Using a variety of hand tools; Extensive experience in panel wiring or machine control wiring; Strong understanding and experience with schematics; Ability to use the required hand tools; The ability to work with minimal supervision and deliver high standards; Problem-solving skills and attention to detail; Motivated and excellent team player; Able to commute to the LE8 area.
23d3b2a9-ce33-4556-a413-4bcdad53e74a,https://www.cv-library.co.uk/job/224353058/General-operative?hlkw=precision-people&sid=501825dc-cd5b-4c91-ba44-4205bbcba194,precision people,Leicester,15 miles,General operative,Precision People,LE3 6NW,Starting pay rate - £12.50 per hour,"General Operative
Site Labouring
Overnight stays may be required
Must have full clean driving licence. Driving to and from site will be required.
Leicester LE3
Temp to Perm
Hours of work
0800 - 1630
Mon - Friday
Starting pay rate - £12.50 per hour
Are you an experienced Site Labourer or general operative with some Engineering Experience? If yes, read on....
My client is a large manufacturing company based in Leicester. They are currently searching for a new General operative /site labourer to join their team. Commutable from areas including Leicester, Beaumont Leys, Wigston, Hinckley and surrounding areas
The Role - 
General Operative /site labourer
- Driving to and from site - must have full clean driving licence 
- Moving and installing machinery on customers premises
- Following installation instructions
- Communicating with customers on all levels
Minimum Skills / Experience Required - 
General Operative/Site labourer
- Experience in site work
- Must have full clean driving licence 
- Awareness of health and safety legislation
- Able to work onsite all around the country
- Able to stay overnight when required
- Good communication skills
- Willingness to take further appropriate training
- Highly Motivated
The Package - General Operative/site labourer
- Starting rate of £12.50","General Operative /site labourer
- Driving to and from site - must have full clean driving licence 
- Moving and installing machinery on customers premises
- Following installation instructions
- Communicating with customers on all levels","General Operative /site labourer
- Driving to and from site - must have full clean driving licence 
- Moving and installing machinery on customers premises
- Following installation instructions
- Communicating with customers on all levels
Minimum Skills / Experience Required - 
General Operative/Site labourer
- Experience in site work
- Must have full clean driving licence 
- Awareness of health and safety legislation
- Able to work onsite all around the country
- Able to stay overnight when required
- Good communication skills
- Willingness to take further appropriate training
- Highly Motivated"
af058867-f8f2-435d-a80e-d667e734eaee,https://www.cv-library.co.uk/job/224351632/Work-Shop-supervisor?hlkw=precision-people&sid=501825dc-cd5b-4c91-ba44-4205bbcba194,precision people,Leicester,15 miles,Work Shop supervisor,Precision People,"LE3 6NW (Leicester, commutable from Coventry, Hinckley, Rugby, Nuneaton and other areas close to South Leicestershire.)",Up to ,"Experience Required - 
 Production Supervisor 
Fabrication shop  
Engineering Manufacturing Industry 
Leicester LE3  
Up to ","Experience Required - 
 Production Supervisor 
Fabrication shop  
Engineering Manufacturing Industry 
Leicester LE3  
Up to ","- To lead, motivate and manage a team of fabricators on a daily basis.
- Liaising with the office regarding bespoke requirements and sharing thoughts and experience regarding more complex specifications.
- To oversee all works being carried out in the workshop to ensure customer satisfaction at all times.
- Interpreting drawings received.
- Welding various fabricated material.
- Oversee laser cutting, shearing, folding, punching, and rubbering material using the relevant machinery.
- Arranging adequate and relevant training for new and existing staff as necessary.
- Working with other staff members effectively by coordinating workload.
- Adhering to health and safety regulations.
- All other duties as required that are considered to be a reasonable employer request.
- At least 5 years' experience in metal sheet fabrication.
- Competent with all aspect of fabrication.
- Use of CAD drawings
- Forklift licence would be preferable but not essential
- Accurate measuring ability and good numeracy skills and experience of using measuring equipment.
- The ability to understand the drawings provided.
- Relevant qualifications would be desirable.
- Previous welding/sheet metal experience essential.
- Amada machinery experience preferable."
66560c82-a9fa-4f29-a737-d14b60ea4f86,https://www.cv-library.co.uk/job/224267219/CNC-Setter-operator?hlkw=precision-people&sid=501825dc-cd5b-4c91-ba44-4205bbcba194,precision people,Leicester,15 miles,CNC Setter / operator,Precision People,Leicester LE4,"£15.00 p/h. Hours: Monday to Thursday - 20.00 - 06.15. This role offers great rates of pay, steady Night shifts, and the opportunity to go permanent for the right person.","CNC Operator Location: Leicester LE4 Hours: Monday to Thursday - 20.00 - 06.15 Payrate - £15.00 p/h Interviews Happening Immediately Are you a skilled in Operating a CNC Milling and Turning Machine and looking for your next opportunity? We're working with a well-established and growing engineering firm in Leicester who are looking to add to their friendly team. This role offers great rates of pay, steady Night shifts, and the opportunity to go permanent for the right person. What You'll Be Doing - Running a cell, operating a CNC Machine - Working from detailed engineering drawings - Operating CNC Milling and Turning Machines - Machining components to a high standard - Reporting to the machine shop Manager - Occasionally working independently on varied jobs and materials What We're Looking For - An experience CNC Milling and Turning operative - Strong background in operating CNC Machines - Confident reading technical drawings - 3+ years experience working within an engineering environment - Someone who can hit the ground running with operating a CNC Milling and turning machine - Someone who is willing to learn and progress","Are you a skilled in Operating a CNC Milling and Turning Machine and looking for your next opportunity? We're working with a well-established and growing engineering firm in Leicester who are looking to add to their friendly team. This role offers great rates of pay, steady Night shifts, and the opportunity to go permanent for the right person.","What You'll Be Doing: Running a cell, operating a CNC Machine; Working from detailed engineering drawings; Operating CNC Milling and Turning Machines; Machining components to a high standard; Reporting to the machine shop Manager; Occasionally working independently on varied jobs and materials. What We're Looking For: An experience CNC Milling and Turning operative; Strong background in operating CNC Machines; Confident reading technical drawings; 3+ years experience working within an engineering environment; Someone who can hit the ground running with operating a CNC Milling and turning machine; Someone who is willing to learn and progress."
40b216cd-c3db-4c0d-bb06-17b45ed3541b,https://www.cv-library.co.uk/job/224297813/CNC-Setter-Operator?hlkw=precision-people&sid=501825dc-cd5b-4c91-ba44-4205bbcba194,precision people,Leicester,15 miles,CNC Setter / Operator,Precision People,"LE4, commutable from Queniborough, Syston, Thurmaston, East Goscote and surrounding areas",£15.00 - £17.00/hour. Permanent Opportunity. Paying upto £17.00 p/h. Overtime paid at a premium.,"Permanent Opportunity   Paying upto £17.00 p/h    Permanent role based in the LE4 area of Leicester, commutable from Queniborough, Syston, Thurmaston, East Goscote and surrounding areas   Our client is looking for an experienced CNC Setter / Operator with experience operating a CNC Milling Machine   Interviewing immediate   Working a day shift Monday to Thursday 06.30 - 16.45   Overtime paid at a premium   **JOB PURPOSE**   To report to the Machine Shop Supervisor  To set and Operate a CNC Milling Machine Machine   **THE CNC Setter / Operator**   CANDIDATE:  - Knowledge and experience of setting and operating a CNC Milling machine
- Knowledge of Mazak and Haas Controls
- Previously worked with or educated on CNC Milling Machining
- Previous engineering environment experience
- Previously worked with sheet metal
- Is from an engineering background
- Is able to read engineering drawings would be advantageous
- Able to use micrometers, verniers and gauges
- Has the ability to work on their own initiative.
- Motivated with the drive to succeed
**Interested? To apply for the CNC Role**  **, here are your two options:**  - ""This is the job for me! When can I start?"" - Call now and let's talk through your experience. Ask for Stacey Catterall on (phone number removed) between 8am - 5pm or email (url removed) outside of these hours.
- ""I think I'm right for this position, but I'm not sure I have enough to be get an interview"" - Click ""apply now"" so I can read your CV and let you know
Precision are committed to keeping our candidates informed and offer a guaranteed response within 7 days when applying through the application system   Ref: CNC Operator   INDTEMP","Permanent Opportunity. Paying upto £17.00 p/h. Permanent role based in the LE4 area of Leicester, commutable from Queniborough, Syston, Thurmaston, East Goscote and surrounding areas. Our client is looking for an experienced CNC Setter / Operator with experience operating a CNC Milling Machine. Interviewing immediate. Working a day shift Monday to Thursday 06.30 - 16.45. Overtime paid at a premium.","JOB PURPOSE: To report to the Machine Shop Supervisor. To set and Operate a CNC Milling Machine Machine. CANDIDATE REQUIREMENTS: Knowledge and experience of setting and operating a CNC Milling machine; Knowledge of Mazak and Haas Controls; Previously worked with or educated on CNC Milling Machining; Previous engineering environment experience; Previously worked with sheet metal; Is from an engineering background; Is able to read engineering drawings would be advantageous; Able to use micrometers, verniers and gauges; Has the ability to work on their own initiative; Motivated with the drive to succeed."
3b5a4df7-a1d3-42de-a41b-6432630a013f,https://www.cv-library.co.uk/job/224297927/CNC-setter-operator?hlkw=precision-people&sid=501825dc-cd5b-4c91-ba44-4205bbcba194,precision people,Leicester,15 miles,CNC setter / operator,Precision People,"LE4 (Leicester, commutable from Queniborough, Syston, Thurmaston, East Goscote and surrounding areas)",£15.00 - £17.00/hour. Permanent Opportunity. Paying up to £17.00 p/h. Working a day shift Monday to Thursday 06.30 - 16.45. Overtime paid at a premium.,"Our client is looking for an experienced CNC Setter / Operator with experience operating a CNC Milling Machine. Interviewing immediate. Working a day shift Monday to Thursday 06.30 - 16.45. Overtime paid at a premium. JOB PURPOSE: To report to the Machine Shop Supervisor. To set and Operate a CNC Milling Machine Machine. THE CNC Setter / Operator CANDIDATE: - Knowledge and experience of setting and operating a CNC Milling machine - Knowledge of Mazak and Haas Controls - Previously worked with or educated on CNC Milling Machining - Previous engineering environment experience - Previously worked with sheet metal - Is from an engineering background - Is able to read engineering drawings would be advantageous - Able to use micrometers, verniers and gauges - Has the ability to work on their own initiative. - Motivated with the drive to succeed Interested? To apply for the CNC Role, here are your two options: - 'This is the job for me! When can I start?' - Call now and let's talk through your experience. Ask for Stacey Catterall on (phone number removed) between 8am - 5pm or email (url removed) outside of these hours. - 'I think I'm right for this position, but I'm not sure I have enough to be get an interview' - Click 'apply now' so I can read your CV and let you know. Precision are committed to keeping our candidates informed and offer a guaranteed response within 7 days when applying through the application system. Ref: CNC Operator INDTEMP",Our client is looking for an experienced CNC Setter / Operator with experience operating a CNC Milling Machine. Interviewing immediate. Working a day shift Monday to Thursday 06.30 - 16.45. Overtime paid at a premium. JOB PURPOSE: To report to the Machine Shop Supervisor. To set and Operate a CNC Milling Machine Machine.,"Knowledge and experience of setting and operating a CNC Milling machine. Knowledge of Mazak and Haas Controls. Previously worked with or educated on CNC Milling Machining. Previous engineering environment experience. Previously worked with sheet metal. Is from an engineering background. Is able to read engineering drawings would be advantageous. Able to use micrometers, verniers and gauges. Has the ability to work on their own initiative. Motivated with the drive to succeed."
,,,,,,,,,,Parse error: Invalid control character at: line 5 column 33 (char 159),
1d504a91-d57f-4205-bf55-81529cf1971d,https://www.cv-library.co.uk/job/224338520/General-op-with-FLT-licence?hlkw=precision-people&sid=501825dc-cd5b-4c91-ba44-4205bbcba194,precision people,Leicester,15 miles,General op with FLT licence,Precision People,"Le3, Leicester LE3, Braunstone","Payrate upto £13.50p/h, Excellent hourly rate - up to £13.50 p/h, Day shifts only — no evenings or weekends, Genuine temp-to-perm opportunity, Great team environment and solid support from day one","General operative with FLT Licence
Location: Leicester LE3
Hours: Monday to Thursday 07.30 - 16.0 Friday 07.30 - 14.00
Payrate upto £13.50p/h 

Interviews Happening Immediately
Are you a skilled flt driver who has previous experience in an engineering environmentand looking for your next opportunity?
We're working with a well-established and growing engineering firm in Leicester who are looking to add to their friendly team. This role offers great rates of pay, steady day shifts, and the opportunity to go permanent for the right person.
What You'll Be Doing
- Operating an FLT
- Loading and unloading of trailers
- Making deliveries so a valid uk driving licence is essential
- Prepping parts ready for the paint shop
- Other general duties
What We're Looking For
- Someone who has a nationally accreditedFLT Licence
- You must hold a Full UK driving licence
- previous experience within an engineering environment
- ability to load and unload parts
- Someone who can hit the ground running and work on their own initiative
Why You'll Love It Here
- Excellent hourly rate - up to £13.50 p/h
- Day shifts only — no evenings or weekends
- Genuine temp-to-perm opportunity
- Great team environment and solid support from day one
Interested? Let's talk!
Call Staecy Catterall on (phone number removed) between 8 am - 5 pm to discuss your experience and the next steps. Or click ""Apply Now"" and we'll be in touch to chat through your CV.
Ref: Plater Welder / Fabricator
INDTEMP","Are you a skilled flt driver who has previous experience in an engineering environmentand looking for your next opportunity? We're working with a well-established and growing engineering firm in Leicester who are looking to add to their friendly team. This role offers great rates of pay, steady day shifts, and the opportunity to go permanent for the right person.","Operating an FLT, Loading and unloading of trailers, Making deliveries so a valid uk driving licence is essential, Prepping parts ready for the paint shop, Other general duties. Requirements: Someone who has a nationally accredited FLT Licence, You must hold a Full UK driving licence, previous experience within an engineering environment, ability to load and unload parts, Someone who can hit the ground running and work on their own initiative."
4a28093e-6e65-49c8-830a-41c00a61a70f,https://www.cv-library.co.uk/job/223413592/Welder?hlkw=precision-people&sid=501825dc-cd5b-4c91-ba44-4205bbcba194,precision people,Leicester,15 miles,Welder,Precision People,Leicester LE2,"£15 - £16/hour. Benefits: Excellent hourly rate - up to £16.00, Day Shift Only, Genuine temp-to-perm opportunity, Great team environment and solid support from day one.","Welder  Location: Leicester LE2   Hours: Mon - Thurs 0700 - 1600 Friday 0700 - 1300   Interviews Happening Immediately   Are you a skilled Welder Fabricator looking for your next opportunity? We’re working with a well-established and growing engineering firm in Leicester who are looking to add to their friendly team. This role offers great rates of pay, day shifts and the opportunity to go permanent for the right person.   What You’ll Be Doing Welding and fabricating    MIG Welding up to 5mm   Fabricating Mild steel to a high standard    Reporting to the engineering manager    Operating both the CNC Laser and CNC Press brake when required      What We're Looking For  - Apprentice-trained or time-served welder/fabricator  - Strong background in MIG welding and fabrication  - Confident reading technical drawings  - 2+years experience working with mid to heavy gauge mild steel  - Someone who can hit the ground running and work on their own initiative    Why You’ll Love It Here  - Excellent hourly rate - up to £16.00  - Day Shift Only  - Genuine temp-to-perm opportunity  - Great team environment and solid support from day one    Interested? Let’s talk! Call Sharon Pickering on (phone number removed) between 8 am - 5 pm to discuss your experience and the next steps.   Or click “Apply Now” and we’ll be in touch to chat through your CV.   Ref MIG Welder/Fabricator   INDTEMP",A contract opportunity for a skilled Welder Fabricator at a well-established and growing engineering firm in Leicester (LE2). The role involves day shifts with great rates of pay and a genuine temp-to-perm opportunity. Interviews are happening immediately.,"Responsibilities: Welding and fabricating, MIG Welding up to 5mm, Fabricating Mild steel to a high standard, Reporting to the engineering manager, Operating both the CNC Laser and CNC Press brake when required. Requirements/Skills: Apprentice-trained or time-served welder/fabricator, Strong background in MIG welding and fabrication, Confident reading technical drawings, 2+years experience working with mid to heavy gauge mild steel, Someone who can hit the ground running and work on their own initiative."
09947879-700e-4823-b082-77ebf6c06ceb,https://www.cv-library.co.uk/job/224254857/CNC-Operator?hlkw=precision-people&sid=501825dc-cd5b-4c91-ba44-4205bbcba194,precision people,Leicester,15 miles,CNC Operator,Precision People,Leicester LE7,"up to £14.00/hour. Benefits include night shift Monday - Thursday working, 3 day weekend, genuine temp-to-perm opportunity, great team environment and solid support from day one.","CNC Operator  Location: Leicester LE7  Hours: Monday to Thursday 19.45 - 06.00  Payrate - up to £14.00 p/h  Interviews Happening Immediately  Are you a skilled CNC Turning Operator looking for your next opportunity? We're working with a well-established and growing engineering firm in Leicester who are looking to add to their friendly team.  This role offers great rates of pay, steady day shifts, and the opportunity to go permanent from day 1 for the right person.  What You'll Be Doing  - Working from Engineering drawings
- Operating a CNC Turning Machine
- Producing components to a high standard
- Reporting to the Workshop Manager
- Occasionally working independently on varied jobs and materials
What We're Looking For  - An individual with CNC Milling or Turning experience
- Strong background in an engineering environment
- Confident reading engineering drawings would be an advantage
- Someone with a flexible approach to work and a desire to learn
- Someone who can hit the ground running and work on their own initiative
Why You'll Love It Here  - Excellent hourly rate - up to £14.00 p/h
- Night shift Monday - Thursday working
- 3 day weekend
- Genuine temp-to-perm opportunity
- Great team environment and solid support from day one  Interested? Let's talk!  Call Stacey Catterall on   (phone number removed)  between 8 am - 5 pm to discuss your experience and the next steps. Or click ""Apply Now"" and we'll be in touch to chat through your CV.  Ref: CNC Operator  INDTEMP","Are you a skilled CNC Turning Operator looking for your next opportunity? We're working with a well-established and growing engineering firm in Leicester who are looking to add to their friendly team. This role offers great rates of pay, steady day shifts, and the opportunity to go permanent from day 1 for the right person.","Working from Engineering drawings, Operating a CNC Turning Machine, Producing components to a high standard, Reporting to the Workshop Manager, Occasionally working independently on varied jobs and materials. Requirements/Skills: An individual with CNC Milling or Turning experience, Strong background in an engineering environment, Confident reading engineering drawings would be an advantage, Someone with a flexible approach to work and a desire to learn, Someone who can hit the ground running and work on their own initiative."
