job_id,source_url,search_job_title,search_location,search_radius_miles,scraped_job_title,recruiter_name,job_location_text,salary_benefits,full_job_description,description_snippet,responsibilities_snippet
c3874130-6f35-452a-b2b4-9c0e42479001,https://www.cv-library.co.uk/job/224255229/Mechanical-Design-Engineer?hlkw=mechanical-design-engineer&sid=5a4b33d5-f1d6-4b99-85d8-95c88eb19440,mechanical design engineer,Leicester,35 miles,Mechanical Design Engineer,WB Power Services Ltd (now Rehlko UK),Heanor,"Market-leading salary package, 25 Days holiday plus bank holidays, Progression opportunities, Company Vehicle or Allowance, Private healthcare, Death in Service, Outstanding employee assistance programme.","WBPS is now Rehlko!
About Rehlko
Rehlko is a global leader in power and energy resilience, with a heritage that spans over 100 years. Since launching the first modern generator, we have continually shaped the way the world powers homes, industries, and critical infrastructure.
Today, Rehlko’s product range includes engines, generators, power conversion systems, UPS, EV components, electrification solutions, microgrid controls, clean energy technologies, and more. Our expertise serves a diverse spectrum of customers worldwide, from OEMs to industrial, commercial, and residential sectors.
As part of this exciting growth, WB Power Services has now become Rehlko UK. This transition means we retain the strong, values-led foundation of a family business, while being empowered by the scale, resources, and global vision of Rehlko. For our people, this means new opportunities, bigger projects, and a chance to shape the future of resilient, sustainable energy.
MechanicalDesignEngineer
We're seeking a meticulous and innovative individual to craft accurate 3D models, designs, and drawings for diverse projects. As a DesignEngineer, you'll collaborate with multidisciplinary teams to deliver high-quality solutions, making a significant impact on our projects. This is a superb opportunity for a MechanicalDesignEngineer to join the business. The business is looking for a driven, passionate, and motivated DesignEngineer to guide the team through these exciting times.
We provide project works for the installation of generators to power clients such as the NHS, water authorities and data centres.
The Role
- Create precise 3D models, assemblies, and drawings using SolidWorks and Revi.
- Translate concept designs into detailed CAD models and technical drawings.
- Enhance designs' functionality, efficiency, and aesthetics.
- Review of tender drawings, specifications and ground conditions.
- Validate structural integrity and performance using SolidWorks.
- Organise CAD libraries, templates, and project files to ensure consistency.
- Generate accurate bills of materials (BOMs) and contribute to procurement.
- Collaborate with project managers.
- Adhere to industry standards, regulations, and company guidelines.
The Person
- Proven CAD Designer experience with expertise in SolidWorks and Revit.
- Industry-recognised qualifications are desirable.
- Proficiency in 3D modelling, assembly design, and drafting using SolidWorks.
- Excellent blueprint interpretation and attention to detail.
- Effective communication skills for cross-functional collaboration.
- Be confident to think outside the box and providing alternative solutions to clients.
- Exceptional time management to handle multiple projects.
What we can offer you
- Market-leading salary package
- 25 Days holiday plus bank holidays
- Progression opportunities
- Company Vehicle or Allowance
- Private healthcare
- Death in Service
- Outstanding employee assistance programme","Seeking a meticulous and innovative Mechanical Design Engineer to create accurate 3D models, designs, and drawings for diverse projects. The role involves collaborating with multidisciplinary teams to deliver high-quality solutions, primarily for generator installation projects for clients like the NHS, water authorities, and data centres. The company, WB Power Services Ltd, has transitioned to Rehlko UK.","Responsibilities:
- Create precise 3D models, assemblies, and drawings using SolidWorks and Revi.
- Translate concept designs into detailed CAD models and technical drawings.
- Enhance designs' functionality, efficiency, and aesthetics.
- Review of tender drawings, specifications and ground conditions.
- Validate structural integrity and performance using SolidWorks.
- Organise CAD libraries, templates, and project files to ensure consistency.
- Generate accurate bills of materials (BOMs) and contribute to procurement.
- Collaborate with project managers.
- Adhere to industry standards, regulations, and company guidelines.

Skills and Requirements:
- Proven CAD Designer experience with expertise in SolidWorks and Revit.
- Industry-recognised qualifications are desirable.
- Proficiency in 3D modelling, assembly design, and drafting using SolidWorks.
- Excellent blueprint interpretation and attention to detail.
- Effective communication skills for cross-functional collaboration.
- Be confident to think outside the box and providing alternative solutions to clients.
- Exceptional time management to handle multiple projects."
6939d7c4-3f52-42b5-959c-3bed993f330d,https://www.cv-library.co.uk/job/224365428/Mechanical-Design-Engineer?hlkw=mechanical-design-engineer&sid=5a4b33d5-f1d6-4b99-85d8-95c88eb19440,mechanical design engineer,Leicester,35 miles,Mechanical Design Engineer,Luton Bennett,"Leicester, City of Leicester","£42,000 - £46,000/annum Pension, Life Assurance, Benefits","Mechanical Design Engineer required for a professional and growing producer of bespoke machinery used in manufacturing. The company have a niche product range and an excellent reputation and are hiring due to continued growth. This role would suit an experienced Mechanical Design Engineer or a Junior Design Engineer looking to gain further experience within a supportive team. You will have 3D modelling experience (with SolidWorks or similar) but can come from any industry background. Joining a small design team, the successful candidate will be responsible for using SolidWorks for the full design and detailing of rotating machinery, ensuring projects are completed on time and to budget. You will be responsible for selecting materials and components. The Mechanical Design Engineer: · Using SolidWorks to design bespoke machinery · Participate in regular design reviews and monitor progress against deadlines · Selection of materials and components with cost and quality in mind · Ensuring BOMs are updated · Work with project team to ensure all documentation is up to date and recorded · Visit suppliers when required The Mechanical Design Engineer Candidate: · Experience within mechanical design · Experience using SolidWorks (or similar) · Any industry background – ideally rotating equipment",Mechanical Design Engineer required for a professional and growing producer of bespoke machinery used in manufacturing. The company have a niche product range and an excellent reputation and are hiring due to continued growth. This role would suit an experienced Mechanical Design Engineer or a Junior Design Engineer looking to gain further experience within a supportive team. You will have 3D modelling experience (with SolidWorks or similar) but can come from any industry background.,"Joining a small design team, the successful candidate will be responsible for using SolidWorks for the full design and detailing of rotating machinery, ensuring projects are completed on time and to budget. You will be responsible for selecting materials and components. The Mechanical Design Engineer: · Using SolidWorks to design bespoke machinery · Participate in regular design reviews and monitor progress against deadlines · Selection of materials and components with cost and quality in mind · Ensuring BOMs are updated · Work with project team to ensure all documentation is up to date and recorded · Visit suppliers when required The Mechanical Design Engineer Candidate: · Experience within mechanical design · Experience using SolidWorks (or similar) · Any industry background – ideally rotating equipment"
ddcd14f4-7678-4034-a5bd-2c8631c1f954,https://www.cv-library.co.uk/job/224135152/Senior-Design-Engineer-Submarines?featured=1&hlkw=mechanical-design-engineer&sid=5a4b33d5-f1d6-4b99-85d8-95c88eb19440,mechanical design engineer,Leicester,35 miles,Senior Design Engineer - Submarines,Rolls Royce,"Derby, DE23 8NX","Up to £74,000 + Benefits + Bonus. We provide excellent development, a competitive salary and exceptional employee benefits and comprehensive package to our employees to include bonus, pension and the opportunity to accrue additional holiday. We also offer numerous flexible benefits to compliment these.","Senior Design Engineer - Submarines Derby Full Time/ On-site Up to £74,000 + Benefits + Bonus We have an exciting opportunity for a Senior Design Engineer to join Rolls-Royce Submarines in Derby. What we offer We provide excellent development, a competitive salary and exceptional employee benefits and comprehensive package to our employees to include bonus, pension and the opportunity to accrue additional holiday. We also offer numerous flexible benefits to compliment these. So, if you are a Senior Design Engineer,Project Design Engineer or Design and Development Engineer, who is passionate about engineering, can demonstrate mechanical design experience from concept to delivery and believe you can make a difference in our Submarines business, we want to hear from you now, so apply online. What you will be doing: As a Senior Mechanical Design Engineer you will be creating component / assembly / systems designs and associated through-life justification that meet their requirements and product attributes of life, cost, availability, and safety margins. Creating Full Life Cycle Design solutions through concept, design, manufacture, operation and disposal Integrating cross-discipline engineering concepts, collaborating across manufacturing engineering, simulation, materials, testing, and supply chain functions. Documenting and verifying information against sound mechanical engineering practices and references. Presenting at technical reviews in front of peers and expert panels. Publishing safety and technical reports which are subjected to customer and regulatory scrutiny Who we're looking for: Being a part of Rolls-Royce you'll know we put safety first, do the right thing, keep it simple and make a difference. These principles form our behaviours. They are an essential component of our assessment process and are fundamental qualities that we seek for all roles. Experienced Mechanical Design Engineer preferably with exposure to process plant, mechanical components, machining, tooling, handling and lifting , special purpose machinery, pressure vessels, boilers or assembly processes CAD Design Software experience External Skills/Experience can be from industries such as Civil Nuclear, Marine, Defence, Aerospace, Petro-Chemical, Oil & Gas, Special Purpose Machinery, Automotive Engineering Qualification or relevant experience (Chartered/Degree/HND/HNC/Apprentice Trained) Why Rolls-Royce? We're a leader in propulsion system design and development for the Royal Navy's nuclear submarine fleet and the sole provider and technical authority. Design and Development Engineering is at the heart of what we do and we are the leader in propulsion system design and development for the Royal Navy's nuclear submarine fleet. We are an equal opportunities employer. We're committed to developing a diverse workforce and an inclusive working environment. We believe that people from different backgrounds and cultures give us different perspectives. And the more perspectives we have, the more successful we'll be. By building a culture of respect and appreciation, we give everyone who works here the opportunity to realise their full potential. You can learn more about our global Inclusion strategy at Our people | Rolls-Royce To work for the Rolls-Royce Submarines business an individual has to hold a Security Check clearance. Rolls-Royce will support the application for Security Clearance if you do not currently already have this in place. Due to the nature of work the business conducts and the protection of certain assets we can only progress applications from individuals who are a UK national or, in MoD approved cases, a dual national Job Category Mechanical Systems Posting Date 13 Nov 2025; 00:11 Posting End Date 27 Nov 2025PandoLogic. Keywords: Marine Engineer, Location: Derby, ENG - DE23 8NX","We have an exciting opportunity for a Senior Design Engineer to join Rolls-Royce Submarines in Derby. What we offer We provide excellent development, a competitive salary and exceptional employee benefits and comprehensive package to our employees to include bonus, pension and the opportunity to accrue additional holiday. We also offer numerous flexible benefits to compliment these. So, if you are a Senior Design Engineer, Project Design Engineer or Design and Development Engineer, who is passionate about engineering, can demonstrate mechanical design experience from concept to delivery and believe you can make a difference in our Submarines business, we want to hear from you now, so apply online.","What you will be doing: As a Senior Mechanical Design Engineer you will be creating component / assembly / systems designs and associated through-life justification that meet their requirements and product attributes of life, cost, availability, and safety margins. Creating Full Life Cycle Design solutions through concept, design, manufacture, operation and disposal Integrating cross-discipline engineering concepts, collaborating across manufacturing engineering, simulation, materials, testing, and supply chain functions. Documenting and verifying information against sound mechanical engineering practices and references. Presenting at technical reviews in front of peers and expert panels. Publishing safety and technical reports which are subjected to customer and regulatory scrutiny. Who we're looking for: Experienced Mechanical Design Engineer preferably with exposure to process plant, mechanical components, machining, tooling, handling and lifting, special purpose machinery, pressure vessels, boilers or assembly processes. CAD Design Software experience. External Skills/Experience can be from industries such as Civil Nuclear, Marine, Defence, Aerospace, Petro-Chemical, Oil & Gas, Special Purpose Machinery, Automotive. Engineering Qualification or relevant experience (Chartered/Degree/HND/HNC/Apprentice Trained)."
5f1bded3-caac-4f11-a3cb-3ebe9958fb3c,https://www.cv-library.co.uk/job/224254085/Lead-Mechanical-and-Process-Engineer?featured=1&hlkw=mechanical-design-engineer&sid=5a4b33d5-f1d6-4b99-85d8-95c88eb19440,mechanical design engineer,Leicester,35 miles,Lead Mechanical and Process Engineer,British Gypsum,"Loughborough, Leicestershire",,"Are you a MechanicalEngineer with a thirst for travel, looking for an amazing opportunity to design, install and test new machinery in our sites worldwide? At **Saint-Gobain** we are looking for **a Lead Mechanical and Process Engineer**to work in our **Technical Production team,** helping to deliver **multi-million pound projects across the globe.** As a **Lead Mechanical / Process Engineer** for **Saint-Gobain** you can expect a rewarding, varied and exciting role where you will be joining a business that is focused on continuing being a global leader in their field, who can offer you the career progression and job security associated with an established and respected brand. The **Lead Mechanical / Process Engineer** will lead the safe implementation of capital projects for process plants including process design improvement, procurement, installation and commissioning on multi-million-pound projects globally. The Lead Mechanical / Process Engineer will be a crucial part of a technical minded world class engineering team and will be responsible for the management of their own exciting portfolio of projects, liaising with several key departments and key stakeholders cross-functionally. This is a challenging role where there will be international travel to oversee the various stages, handover of finalised projects and ongoing technical mentoring. This is a fantastic opportunity to make your mark on some of our upcoming best in class manufacturing facility projects in a vital cog in the Saint Gobain business model **Saint-Gobain**designs, manufactures and distributes materials and services for the construction and industrial markets. These solutions are found everywhere in our living places and our daily life: in buildings, transportation, infrastructure and in many industrial applications. They provide comfort, performance and sustainability while meeting the challenges of the decarbonization of the world of construction and industry, the preservation of resources and rapid urbanisation.","A Lead Mechanical and Process Engineer role within Saint-Gobain's Technical Production team, focused on designing, installing, and testing new machinery worldwide. The role involves leading the safe implementation of multi-million pound capital projects for process plants globally, including process design improvement, procurement, installation, and commissioning. It is a varied and exciting role with international travel and responsibility for managing a portfolio of projects.","Responsibilities: Support Project Managers on major projects undertaken by GMT worldwide or existing operations to deliver installations on time and to budget; Delivery of process solutions to best performance at lowest cost giving due regard to safety, operability, maintainability etc.; Ensure efficient handover of projects ensuring full documentation, training, support and then provide support to operating plants on our global projects; Scope and develop initial designs and layouts for capital projects, and then expand them into detailed plans and drawings providing feasibility studies, specifications and budget estimates for capital schemes right to commissioning of new equipment and processes. Skills and requirements: A mechanicalengineering degree or equivalent, preferably educated to Masters level; Project management experience, dealing with capex investments; Experience in mechanicaldesign, manufacturing, installation and commissioning of process and/or conveying equipment; Experience of managing a team; Experience with CI and WCM methodologies; A collaborative style of work with the ability to liaise with stakeholders, suppliers and wider teams; The role involves a lot of international travel, you'll need to be flexible in order to do so."
3f407638-13dc-4ffc-87d3-22d0292d2b6c,https://www.cv-library.co.uk/job/224190544/Mechanical-Design-Engineer?hlkw=mechanical-design-engineer&sid=5a4b33d5-f1d6-4b99-85d8-95c88eb19440,mechanical design engineer,Leicester,35 miles,Mechanical Design Engineer,Redshore,"Leicester, City of Leicester (Based in Leicestershire on the border of Rugby, Northamptonshire and Warwickshire).","£42,000 - £46,000/annum. Benefits: Pension, Life Assurance, Share Save Scheme, 33 Holidays, Free Parking, Early Friday Finish.","An exciting opportunity has arisen within this leading, Midlands based manufacturing company of highly technical components into the aerospace, automotive, medical and engineering industries for a Mechanical Design Engineer to join its UK Headquarters. THE ROLE Based in Leicestershire on the border of Rugby, Northamptonshire and Wawickshire. The Design Engineer will report into the Engineering Manager and be responsible for the design and development of a range of precision components. Responsibilities include: To design technical products to meet customer expectations. To conduct engineering and manufacturing feasibility reviews for new and modified Product enquiries. To generate CAD Models & detail drawings. To maintain accurate design records, including B.O.M’s and design files. THE PERSON The Mechanical Design Engineer will need to have strong 3D design experience ideally using Autodesk Inventor, Solidworks or similar. New software training will be provided. Any experience designing precision components, assemblies, sheetmetal, fabricated, plastic parts etc would be ideal. This role offers excellent training and development for the successful candidate. THE PACKAGE £42,000-£46,000 Basic Pension Life Assurance Share Save Scheme 33 Holidays Free Parking Early Friday Finish","An exciting opportunity has arisen within this leading, Midlands based manufacturing company of highly technical components into the aerospace, automotive, medical and engineering industries for a Mechanical Design Engineer to join its UK Headquarters.","To design technical products to meet customer expectations. To conduct engineering and manufacturing feasibility reviews for new and modified Product enquiries. To generate CAD Models & detail drawings. To maintain accurate design records, including B.O.M’s and design files. Strong 3D design experience ideally using Autodesk Inventor, Solidworks or similar."
b46dcd63-27fb-45ce-afa8-b4bbfb9ffeff,https://www.cv-library.co.uk/job/224346202/Mechanical-Design-Engineer?hlkw=mechanical-design-engineer&sid=5a4b33d5-f1d6-4b99-85d8-95c88eb19440,mechanical design engineer,Leicester,35 miles,Mechanical Design Engineer,Bennett and Game Recruitment LTD,"Derby, Derbyshire","£35,000 - £40,000/annum 33 Days Holiday, inc BH. Salary: £35,000 - £40,000 - depending on experience. Benefits include: 25 days Holiday allowance, plus bank holidays; Monday to Thursday 08:00 - 16:00, Friday 08:00 - 15:30; Overtime available depending on workload; Company Pension scheme.","MechanicalDesignEngineer required for a well-established Conveyer and special purpose machinery manufacturer, based in Derby. The successful candidate will be involved in the design of existing and new products using Autodesk Inventor, whilst providing mentorship to a small number of Junior DesignEngineers.

MechanicalDesignEngineer Job Overview  
- Mentoring and overseeing a small team of Junior DesignEngineers
- Allocating design work throughout the team
- Assisting with creating product layouts and manufacturing drawings using customer specification and recommendations
- Generate assembly and detailed production drawings with the use of Autodesk Inventor
- Produce clear build processes to technicians
- Attend and input at various project meetings with team and customers
- Solve problems and produce new concepts
- Manage suppliers and procurement of bill of materials
- Use innovation to research latest ideas and techniques.

MechanicalDesignEngineer Job Requirements  
- Proficient using 3D modelling such as Autodesk Inventor or Solidworks
- 3+ years of experience within a MechanicalDesignEngineering role
- Qualifications within a mechanicalengineering related subject are desirable
- Based in a commutable distance of Derby
- Strong communication skills","MechanicalDesignEngineer required for a well-established Conveyer and special purpose machinery manufacturer, based in Derby. The successful candidate will be involved in the design of existing and new products using Autodesk Inventor, whilst providing mentorship to a small number of Junior DesignEngineers.",Responsibilities include: Mentoring and overseeing a small team of Junior DesignEngineers; Allocating design work throughout the team; Assisting with creating product layouts and manufacturing drawings using customer specification and recommendations; Generate assembly and detailed production drawings with the use of Autodesk Inventor; Produce clear build processes to technicians; Attend and input at various project meetings with team and customers; Solve problems and produce new concepts; Manage suppliers and procurement of bill of materials; Use innovation to research latest ideas and techniques. Requirements include: Proficient using 3D modelling such as Autodesk Inventor or Solidworks; 3+ years of experience within a MechanicalDesignEngineering role; Qualifications within a mechanicalengineering related subject are desirable; Based in a commutable distance of Derby; Strong communication skills.
b3bca43d-fdf0-488e-9e8e-0f06f2dec03d,https://www.cv-library.co.uk/job/224294230/Mechanical-Design-Engineer?hlkw=mechanical-design-engineer&sid=5a4b33d5-f1d6-4b99-85d8-95c88eb19440,mechanical design engineer,Leicester,35 miles,Mechanical Design Engineer,Optima UK Inc Ltd,"Leicester, Leicestershire","£35,000 - £50,000/annum","My client is a well‑established specialist engineering business based in Leicester, designing and manufacturing precision machinery. They put emphasis on innovation, supporting major global industries, and offer strong employee development opportunities. We are seeking a highly skilled and passionate DesignEngineer to join my clients team. The ideal candidate will have experience in full machine design, detailing, and the development of mechanical systems using 3D CAD tools. A Senior DesignEngineer will additionally have expertise in advanced calculations, safety standards, and customer-facing technical discussions. Mechanicaldesign & detailing: full machine design from concept through to detailing and manufacturing. Use of SolidWorks 3D CAD for modelling, assemblies and drawing generation. Design of rotating machinery and associated systems. Material selection (steel, aluminium, plastic, phosphor bronze, etc.). Parts costing and designing to budget. Design for assembly practices. Manufacturing process knowledge: general & precision machining, fabrication, machined fabrications, laser cutting. Creation and maintenance of Bill of Materials (BOM) in MRP system including part number generation. Basic engineering calculations to support design decisions. Proficient in SolidWorks 3D CAD modelling Experience of full machine design and detailing in a mechanicalengineering/manufacturing environment. Practical knowledge of rotating machinery, drives, motion systems, and their selection. Strong understanding of materials, bearings, linear guides, screws, chains, belts and pulleys. Experience specifying pneumatic systems and sensors. Experience creating BOMs and working in an MRP environment. To apply for the MechanicalDesignEngineerposition, click Apply Now and upload your CV. A member of our recruitment team will contact you to discuss your application and next steps.","About the Company  My client is a well‑established specialist engineering business based in Leicester, designing and manufacturing precision machinery. They put emphasis on innovation, supporting major global industries, and offer strong employee development opportunities. The Role  We are seeking a highly skilled and passionate DesignEngineer to join my clients team. The ideal candidate will have experience in full machine design, detailing, and the development of mechanical systems using 3D CAD tools. A Senior DesignEngineer will additionally have expertise in advanced calculations, safety standards, and customer-facing technical discussions.","Key Responsibilities: Mechanicaldesign & detailing: full machine design from concept through to detailing and manufacturing. Use of SolidWorks 3D CAD for modelling, assemblies and drawing generation. Design of rotating machinery and associated systems. Material selection (steel, aluminium, plastic, phosphor bronze, etc.). Parts costing and designing to budget. Design for assembly practices. Manufacturing process knowledge: general & precision machining, fabrication, machined fabrications, laser cutting. Creation and maintenance of Bill of Materials (BOM) in MRP system including part number generation. Basic engineering calculations to support design decisions. About You: Proficient in SolidWorks 3D CAD modelling Experience of full machine design and detailing in a mechanicalengineering/manufacturing environment. Practical knowledge of rotating machinery, drives, motion systems, and their selection. Strong understanding of materials, bearings, linear guides, screws, chains, belts and pulleys. Experience specifying pneumatic systems and sensors. Experience creating BOMs and working in an MRP environment."
56d69954-f86e-49ff-8fff-2bb2c3a81aa1,https://www.cv-library.co.uk/job/224321244/Mechanical-Design-Engineer?hlkw=mechanical-design-engineer&sid=5a4b33d5-f1d6-4b99-85d8-95c88eb19440,mechanical design engineer,Leicester,35 miles,MechanicalDesignEngineer,Rise Technical Recruitment,"Leicester, Leicestershire","£35,000 - £45,000 + Monday-Thursday (7:30am-4pm) + Early Finish Friday (7:30am-3pm) + Company Pension + Overtime + Training + Progression + Pension + Site Visits","MechanicalDesignEngineer
Commutable from Leicester, Loughborough, Hinckley, Coalville, Market Harborough, Melton Mowbray, Ashby-de-la-Zouch, Wigston, Lutterworth, Blaby
£35,000 - £45,000 + Monday-Thursday (7:30am-4pm) + Early Finish Friday (7:30am-3pm) + Company Pension + Overtime + Training + Progression + Pension + Site Visits
Excellent opportunity for a MechanicalDesignEngineer to join a well-established and expanding engineering business.
This company design and manufacture bespoke engineering systems for a range of industries, with continued growth driven by strong customer demand and a reputation for quality and innovation.
In this role, you'll be responsible for producing design concepts and detailed drawings using Autodesk Inventor and AutoCAD, supporting projects from the early design stages through to manufacture and installation.
The ideal candidate will have a background in mechanicaldesign or engineering, with experience using 3D CAD software. You'll work closely with experienced engineers, customers, and suppliers while developing your skills and technical knowledge through ongoing training and hands-on project exposure.
This is a fantastic opportunity to join a supportive and ambitious business where you'll be encouraged to develop new skills, take on increasing responsibility, and progress your career long-term.
The Role:  
 * Producing 3D and 2D design drawings using Autodesk Inventor and AutoCAD  
 * Supporting senior engineers with concept and detailed design work  
 * Liaising with internal teams, suppliers, and customers throughout projects
The Person:  
 * Experience or qualification in mechanicaldesign or engineering  
 * Familiar with 3D CAD software (Inventor, AutoCAD or similar)  
 * Eager to learn and progress with a growing company  
***Reference Number: BBBH(phone number removed)***  
***To apply for this role or to be considered for further roles, please click ""Apply Now"" or contact Kyle Boyce at Rise Technical Recruitment.**  
**Rise Technical Recruitment Ltd acts an employment agency for permanent roles and an employment business for temporary roles.**  
**The salary advertised is the bracket available for this position. The actual salary paid will be dependent on your level of experience, qualifications, and skill set. We are an equal opportunities employer and welcome applications from all suitable candidates.***","Excellent opportunity for a MechanicalDesignEngineer to join a well-established and expanding engineering business.
This company design and manufacture bespoke engineering systems for a range of industries, with continued growth driven by strong customer demand and a reputation for quality and innovation.
In this role, you'll be responsible for producing design concepts and detailed drawings using Autodesk Inventor and AutoCAD, supporting projects from the early design stages through to manufacture and installation.
The ideal candidate will have a background in mechanicaldesign or engineering, with experience using 3D CAD software. You'll work closely with experienced engineers, customers, and suppliers while developing your skills and technical knowledge through ongoing training and hands-on project exposure.
This is a fantastic opportunity to join a supportive and ambitious business where you'll be encouraged to develop new skills, take on increasing responsibility, and progress your career long-term.","The Role:  
 * Producing 3D and 2D design drawings using Autodesk Inventor and AutoCAD  
 * Supporting senior engineers with concept and detailed design work  
 * Liaising with internal teams, suppliers, and customers throughout projects
The Person:  
 * Experience or qualification in mechanicaldesign or engineering  
 * Familiar with 3D CAD software (Inventor, AutoCAD or similar)  
 * Eager to learn and progress with a growing company"
0ca7df08-fb83-4c13-aace-f77da3eb564b,https://www.cv-library.co.uk/job/224234321/Mechanical-Design-Engineer?hlkw=mechanical-design-engineer&sid=5a4b33d5-f1d6-4b99-85d8-95c88eb19440,mechanical design engineer,Leicester,35 miles,Mechanical Design Engineer,Euro-Projects Recruitment Ltd,"LE65, Ashby-de-la-Zouch, Leicestershire","£40,000 to £45,000 per annum basic. Holidays taken in hours that rises with service– higher degree of flexibility, equivalent to 25 days + bank holidays. Up to 7% employer pension. Life Assurance. Wider discounts and potential cash awards based on achievements.","Would suit someone who has worked on electro mechanical products in general e.g. machinery, plant equipment, motors etc. We are currently looking to recruit a Mechanical Design Engineer who has worked on a range of mechanical components. The company, a global engineering business, manufacture large electro mechanical equipment. The design team are responsible for 3D design of components used to assemble the final product. Any knowledge / experience of hazardous area components or conduit wiring would be an advantage, but not essential. Salary & Package:£40,000 to £45,000 per annum basic. Holidays taken in hours that rises with service– higher degree of flexibility, equivalent to 25 days + bank holidays. Up to 7% employer pension. Life Assurance. Wider discounts and potential cash awards based on achievements. This Mechanical Design Engineer job will suit: - An experienced Mechanical Design Engineer who has ideally worked on motors, instrumentation, heavy capital plant equipment or comes from the power generation sector. This isn’t essential but would be an advantage. - 3D CAD experience, specific Inventor experience is useful but we can look at other CAD packages too. - A formal engineering qualification and methodical character. The Mechanical Design Engineer job’s working environment, opportunities and rewards: - An established engineering group with a friendly, hard working culture. - Opportunity to progress and develop further. - Day shift role with an early Friday finish. - Excellent benefits and modern facility to work in. The Mechanical Design Engineer job will involve: - 3D Design of components used within industrial equipment. - Guide design draughtsmen in the department, and sign off engineering drawings as checked work. - To work to KPIs and objectives set by the Design Lead. - Creating engineering drawings using AutoCAD for the manufacturing team. To apply please contact Joe Parker at Euro Projects Recruitment Ltd. Reference: JP-DESA","International business, excellent working facilities with scope to develop further - Hybrid working in place – 2 days from home, flexible to choose. - Would suit someone who has worked on electro mechanical products in general e.g. machinery, plant equipment, motors etc.","This Mechanical Design Engineer job will suit: - An experienced Mechanical Design Engineer who has ideally worked on motors, instrumentation, heavy capital plant equipment or comes from the power generation sector. This isn’t essential but would be an advantage. - 3D CAD experience, specific Inventor experience is useful but we can look at other CAD packages too. - A formal engineering qualification and methodical character. The Mechanical Design Engineer job will involve: - 3D Design of components used within industrial equipment. - Guide design draughtsmen in the department, and sign off engineering drawings as checked work. - To work to KPIs and objectives set by the Design Lead. - Creating engineering drawings using AutoCAD for the manufacturing team."
97b7f327-76c2-4d93-a350-ae66fa60e275,https://www.cv-library.co.uk/job/224352243/Mechanical-Design-Engineer?hlkw=mechanical-design-engineer&sid=5a4b33d5-f1d6-4b99-85d8-95c88eb19440,mechanical design engineer,Leicester,35 miles,MechanicalDesignEngineer,Luton Bennett,Northampton,"£35,000 - £55,000 (Depending on Experience) + 25 Days Holiday + Bank Holidays + Pension + Overtime + Private Healthcare After Probation","MechanicalDesignEngineer
Northampton
£35,000 - £55,000 (Depending on Experience) + 25 Days Holiday + Bank Holidays + Pension + Overtime + Private Healthcare After Probation
Monday to Friday 40 Hours
MechanicalDesignEngineer required for a successful design and manufacturing company. The role will suit those looking for a varied role in a reputable business.
To apply for the role candidates need mechanicaldesign experience. You need a good understanding of thermodynamics and sheet metal fabrication.
Based at the factory in Northampton, you will design and modify sheet metal assemblies, boilers, combustion chambers, conveyors and silos using Autodesk Inventor. You will work closely with fabrication and installation teams to ensure products are meet the specifications. 
 You will visit customer sites for surveys and commissioning, a pool van will be available.
This is a diverse and practical role within a small progressive company committed to sustainable energy.
The MechanicalDesignEngineer Role in Brief:
* Design and modify sheet-metal assemblies, boilers, combustion chambers, conveyors and silos
* Modify existing assemblies for customer installation and layouts
* Work closely with associated teams
* Visit customer sites for surveys and commissioning when needed
The MechanicalDesignEngineer Required:
* Mechanicaldesign background
* 3D CAD Package, ideally Autodesk Inventor
* Sheet metal fabrication understanding
* Willing to travel to customer sites occasionally",MechanicalDesignEngineer required for a successful design and manufacturing company. The role will suit those looking for a varied role in a reputable business.,"* Design and modify sheet-metal assemblies, boilers, combustion chambers, conveyors and silos
* Modify existing assemblies for customer installation and layouts
* Work closely with associated teams
* Visit customer sites for surveys and commissioning when needed
* Mechanicaldesign background
* 3D CAD Package, ideally Autodesk Inventor
* Sheet metal fabrication understanding
* Willing to travel to customer sites occasionally"
